Date,BIL,GVI,IYR,JKD,LQD,MDY,MUB,VFINX,VIGRX,VISVX,VUSTX,^RUT
2016-05-03,87.17648315429688,101.94270324707031,65.728271484375,109.51937866210938,103.26290130615234,248.00164794921875,100.83099365234375,174.68670654296875,51.871456146240234,22.563920974731445,10.431828498840332,1121.760009765625
2016-05-04,87.15740966796875,102.07012939453125,66.61133575439453,108.82872772216797,103.09087371826172,246.9516143798828,100.84896850585938,173.6873321533203,51.633216857910156,22.463476181030273,10.487872123718262,1113.1300048828125
2016-05-05,87.15740966796875,102.13389587402344,66.86605834960938,108.8014907836914,103.29729461669922,246.79217529296875,100.91182708740234,173.6781768798828,51.633216857910156,22.426950454711914,10.55191421508789,1107.949951171875
2016-05-06,87.17648315429688,102.06106567382812,67.5198745727539,109.19223022460938,103.07367706298828,247.9359130859375,100.88488006591797,174.25579833984375,51.833335876464844,22.582185745239258,10.503884315490723,1114.719970703125
2016-05-09,87.17648315429688,102.18852233886719,68.06328582763672,109.21949768066406,102.97046661376953,247.8796844482422,100.983642578125,174.38412475585938,52.042991638183594,22.527395248413086,10.535908699035645,1118.25
2016-05-10,87.17648315429688,102.16119384765625,68.1906509399414,110.49168395996094,103.14247131347656,250.8141632080078,101.00163269042969,176.5662384033203,52.69103240966797,22.792207717895508,10.535908699035645,1128.8299560546875
2016-05-11,87.13835144042969,102.16119384765625,66.9764404296875,109.82833099365234,103.25428009033203,248.34841918945312,101.08243560791016,174.9709014892578,52.07158279418945,22.573049545288086,10.591947555541992,1114.739990234375
2016-05-12,87.13835144042969,102.07927703857422,67.30758666992188,109.66475677490234,103.03926086425781,248.26409912109375,101.1722183227539,174.9525909423828,52.00486755371094,22.500003814697266,10.543909072875977,1108.5999755859375
2016-05-13,87.13835144042969,102.13389587402344,66.76416778564453,108.77418518066406,103.22850036621094,245.7984161376953,101.27103424072266,173.4856414794922,51.67133331298828,22.289976119995117,10.631977081298828,1102.43994140625
2016-05-16,87.13835144042969,102.01556396484375,67.29060363769531,109.60115051269531,102.88445281982422,248.37660217285156,101.11837005615234,175.2001190185547,52.214534759521484,22.509132385253906,10.55191421508789,1116.2099609375
2016-05-17,87.13835144042969,101.9154281616211,66.27169036865234,108.74694061279297,102.85006713867188,245.68594360351562,101.31593322753906,173.60484313964844,51.67133331298828,22.262582778930664,10.55992603302002,1097.6800537109375
2016-05-18,87.15740966796875,101.56043243408203,65.34619903564453,108.77418518066406,101.97274780273438,245.1140594482422,101.04652404785156,173.66900634765625,51.67133331298828,22.262582778930664,10.415813446044922,1102.949951171875
2016-05-19,87.13835144042969,101.48758697509766,64.64144897460938,108.25624084472656,102.21354675292969,244.2796630859375,101.0285415649414,173.02723693847656,51.41402053833008,22.143869400024414,10.463848114013672,1094.780029296875
2016-05-20,87.15740966796875,101.51492309570312,65.15939331054688,108.8832778930664,102.28237915039062,247.68283081054688,100.94774627685547,174.09072875976562,51.82381057739258,22.408687591552734,10.463848114013672,1112.280029296875
2016-05-23,87.17648315429688,101.56043243408203,65.21883392333984,108.65605926513672,102.28237915039062,247.15789794921875,100.99264526367188,173.73318481445312,51.75708770751953,22.363033294677734,10.479860305786133,1111.3699951171875
2016-05-24,87.13835144042969,101.52400207519531,65.99999237060547,110.21907806396484,102.1103744506836,251.25482177734375,100.87590789794922,176.10781860351562,52.576663970947266,22.719152450561523,10.439834594726562,1135.31005859375
2016-05-25,87.15740966796875,101.53309631347656,66.10186767578125,110.72795104980469,102.29096221923828,252.81109619140625,100.85795593261719,177.34552001953125,52.82445526123047,22.901784896850586,10.40781021118164,1141.02001953125
2016-05-26,87.15740966796875,101.69696044921875,66.14433288574219,110.58257293701172,102.58340454101562,252.92355346679688,100.90283966064453,177.33641052246094,52.89115524291992,22.8743896484375,10.455845832824707,1139.75
2016-05-27,87.17648315429688,101.60592651367188,66.43302154541016,110.95513916015625,102.5059585571289,254.98611450195312,100.77715301513672,178.1248779296875,53.12940979003906,23.029626846313477,10.439834594726562,1150.449951171875
2016-05-31,87.17648315429688,101.6878662109375,66.44152069091797,110.87336730957031,102.6866226196289,254.83604431152344,100.85795593261719,177.95986938476562,53.09128952026367,23.09354591369629,10.487175941467285,1154.7900390625
2016-06-01,87.17648315429688,101.63043212890625,66.4839859008789,111.07328033447266,102.75907897949219,256.0267028808594,100.86245727539062,178.18902587890625,53.14846420288086,23.203125,10.519271850585938,1163.0400390625
2016-06-02,87.15740966796875,101.76717376708984,66.84058380126953,111.36407470703125,102.96610260009766,257.7142639160156,100.98841857910156,178.7116241455078,53.32954025268555,23.340099334716797,10.591485977172852,1170.5799560546875
2016-06-03,87.17648315429688,102.16826629638672,67.04438018798828,111.01874542236328,103.79410552978516,256.2987060546875,101.1143569946289,178.19822692871094,53.186588287353516,23.239652633666992,10.735917091369629,1164.1300048828125
2016-06-06,87.195556640625,102.16826629638672,66.6283187866211,111.71847534179688,103.54396057128906,258.5768127441406,101.1143569946289,179.06924438476562,53.34859085083008,23.486202239990234,10.655675888061523,1176.8699951171875
2016-06-07,87.195556640625,102.25032806396484,67.035888671875,111.7911605834961,103.69921112060547,259.40185546875,101.17733764648438,179.30763244628906,53.37718200683594,23.57752227783203,10.68776798248291,1179.969970703125
2016-06-08,87.195556640625,102.25944519042969,67.39249420166016,112.13648223876953,104.04422760009766,260.6205139160156,101.2852783203125,179.93104553222656,53.558250427246094,23.68709373474121,10.735917091369629,1188.949951171875
