Date,BIL,HYG,IYR,JKD,LDVIX,USCI,VEMAX,VIGRX
2019-12-12,91.11181640625,83.2154769897461,87.65100860595703,178.46861267089844,20.530000686645508,36.220001220703125,35.174983978271484,90.73094177246094
2019-12-13,91.09190368652344,83.30107116699219,87.73816680908203,178.54727172851562,20.75,36.15999984741211,35.35976028442383,91.06824493408203
2019-12-16,91.11181640625,83.46269226074219,88.30147552490234,179.6348114013672,21.1200008392334,36.619998931884766,35.544532775878906,91.7824935913086
2019-12-17,91.10186004638672,83.71942138671875,87.5484390258789,179.80271911621094,21.030000686645508,36.470001220703125,35.89462661743164,91.71304321289062
2019-12-18,91.12177276611328,83.87154388427734,88.68289184570312,179.41748046875,21.139999389648438,36.45000076293945,36.098846435546875,91.76265716552734
2019-12-19,91.1317367553711,83.8276596069336,89.41637420654297,180.039794921875,21.450000762939453,36.4900016784668,36.098846435546875,92.39755249023438
2019-12-20,91.13672637939453,83.70362854003906,89.97381591796875,181.22509765625,21.65999984741211,36.52000045776367,36.06930923461914,92.82413482666016
2019-12-23,91.13672637939453,83.74177551269531,89.46527099609375,181.38314819335938,21.65999984741211,36.4900016784668,36.16777420043945,92.9434585571289
2019-12-24,91.14669036865234,83.80857849121094,89.70977020263672,181.53131103515625,21.639999389648438,36.779998779296875,36.13823699951172,92.9931869506836
2019-12-26,91.15666961669922,83.93262481689453,90.18898010253906,182.3116455078125,21.889999389648438,36.81999969482422,36.31548309326172,93.73905181884766
2019-12-27,91.14669036865234,83.89444732666016,90.4334716796875,182.55857849121094,21.8700008392334,37.04999923706055,36.42380142211914,93.73905181884766
2019-12-30,91.15666961669922,83.83720397949219,90.50192260742188,181.88690185546875,21.469999313354492,37.119998931884766,36.36471176147461,93.08268737792969
2019-12-31,91.15666961669922,83.91353607177734,91.030029296875,182.2227325439453,21.549999237060547,36.900001525878906,36.3844108581543,93.35120391845703
2020-01-02,91.18656158447266,84.26660919189453,90.02272033691406,184.1389923095703,22.18000030517578,37.099998474121094,37.02445983886719,94.57440185546875
2020-01-03,91.18656158447266,84.18071746826172,90.66818237304688,183.11175537109375,21.899999618530273,37.06999969482422,36.68966293334961,94.01749420166016
2020-01-06,91.17658996582031,84.0948486328125,90.74642181396484,183.64511108398438,22.219999313354492,36.880001068115234,36.46318435668945,94.59429168701172
2020-01-07,91.17658996582031,84.01850891113281,89.8271255493164,183.2104949951172,22.209999084472656,37.060001373291016,36.52227020263672,94.52467346191406
2020-01-08,91.19654846191406,84.0948486328125,90.04227447509766,184.2970428466797,22.6200008392334,36.650001525878906,36.49272537231445,95.25064086914062
2020-01-09,91.20651245117188,84.31431579589844,90.09117889404297,185.95648193359375,22.90999984741211,36.369998931884766,36.89645004272461,96.12577819824219
2020-01-10,91.20651245117188,84.34292602539062,90.87355041503906,185.31443786621094,22.899999618530273,36.45000076293945,36.90629577636719,95.93683624267578
2020-01-13,91.20651245117188,84.34292602539062,91.84175872802734,186.66766357421875,23.299999237060547,36.16999816894531,37.40849304199219,96.92135620117188
2020-01-14,91.20651245117188,84.33341217041016,91.48968505859375,186.44049072265625,23.110000610351562,36.279998779296875,37.29032516479492,96.53350830078125
2020-01-15,91.21648406982422,84.35247039794922,92.30139923095703,186.85536193847656,23.25,36.34000015258789,37.10323715209961,96.7821273803711
2020-01-16,91.23641967773438,84.381103515625,92.98599243164062,188.50491333007812,23.610000610351562,36.11000061035156,37.241092681884766,97.74676513671875
2020-01-17,91.22644805908203,84.31431579589844,93.09356689453125,189.25563049316406,23.829999923706055,36.34000015258789,37.457725524902344,98.2937240600586
