Date,BIL,GSG,GVI,IYR,JEDAX,JKD,LQD,MDY,MUB,PIGLX,VFINX,VIGRX,VISVX,VUSTX,^RUT
2013-08-19,87.32907104492188,33.130001068115234,94.7784423828125,46.42466354370117,5.912590503692627,83.94816589355469,86.92658233642578,198.12918090820312,84.95361328125,7.623440742492676,132.8204345703125,38.63441467285156,18.032304763793945,8.391670227050781,1013.25
2013-08-20,87.34811401367188,32.939998626708984,94.96971130371094,47.513511657714844,5.9052910804748535,84.26510620117188,87.45940399169922,200.90283203125,85.38824462890625,7.65633487701416,133.32669067382812,38.819358825683594,18.266939163208008,8.45215129852295,1028.5699462890625
2013-08-21,87.34811401367188,32.79999923706055,94.72627258300781,47.41452407836914,5.868793487548828,83.691162109375,86.93441772460938,199.14772033691406,85.1458511352539,7.615211486816406,132.5585174560547,38.66215515136719,18.11920166015625,8.368987083435059,1021.5800170898438
2013-08-22,87.32907104492188,32.849998474121094,94.69149780273438,47.681026458740234,5.854196548461914,84.24794006347656,87.33403015136719,201.35751342773438,85.13752746582031,7.582319259643555,133.7020263671875,39.022789001464844,18.345149993896484,8.437026977539062,1036.199951171875
2013-08-23,87.34811401367188,33.13999938964844,94.83927917480469,48.236873626708984,5.876091957092285,84.89897155761719,87.92169952392578,201.6848907470703,85.5136489868164,7.598763942718506,134.25196838378906,39.11526107788086,18.371217727661133,8.520194053649902,1038.239990234375
2013-08-26,87.32907104492188,33.290000915527344,94.95230102539062,48.054141998291016,5.876091957092285,84.5392074584961,88.10193634033203,201.87588500976562,85.32139587402344,7.615211486816406,133.7107391357422,39.08750534057617,18.336463928222656,8.557988166809082,1038.469970703125
2013-08-27,87.32907104492188,33.709999084472656,95.10010528564453,47.909446716308594,5.868793487548828,83.18576049804688,88.4780044555664,197.60174560546875,85.3130111694336,7.664554119110107,131.58963012695312,38.44947814941406,17.94539451599121,8.65627384185791,1013.489990234375
2013-08-28,87.32907104492188,34.04999923706055,94.94364166259766,47.681026458740234,5.846896648406982,83.15149688720703,88.49365234375,198.15646362304688,85.12911987304688,7.639881134033203,131.97369384765625,38.59742736816406,17.97146987915039,8.588235855102539,1016.5
2013-08-29,87.34811401367188,33.650001525878906,94.98709106445312,47.757171630859375,5.846896648406982,83.44274139404297,88.57986450195312,199.0840301513672,85.16259765625,7.615211486816406,132.25302124023438,38.73613739013672,18.07575225830078,8.641154289245605,1026.93994140625
2013-08-30,87.34811401367188,33.54999923706055,94.98709106445312,47.39168930053711,5.849824905395508,82.98873138427734,88.57986450195312,195.9284210205078,85.1792984008789,7.623456954956055,131.84274291992188,38.55119323730469,17.82373046875,8.657068252563477,1010.9000244140625
