Date,BIL,IYR,MUB,VEMAX,VIGRX
2016-01-05,87.13835144042969,63.866615295410156,98.75215148925781,23.434030532836914,51.24776840209961
2016-01-06,87.1001968383789,63.655303955078125,99.18965148925781,23.11615562438965,50.657623291015625
2016-01-07,87.11927032470703,62.23549270629883,99.33251953125,22.3568058013916,49.40118408203125
2016-01-08,87.11927032470703,61.500247955322266,99.37715911865234,22.312658309936523,48.91573715209961
2016-01-11,87.11927032470703,61.74531936645508,99.2164306640625,21.977127075195312,48.97284698486328
2016-01-12,87.13835144042969,61.31429672241211,99.25216674804688,22.0654239654541,49.42973327636719
2016-01-13,87.11927032470703,60.3846549987793,99.29680633544922,21.8535099029541,47.95436477661133
2016-01-14,87.1001968383789,60.300148010253906,99.11820983886719,22.10074234008789,48.706329345703125
2016-01-15,87.1001968383789,59.61559295654297,99.42179870605469,21.341386795043945,47.68783950805664
2016-01-19,87.11927032470703,59.793087005615234,99.41289520263672,21.535640716552734,47.68783950805664
2016-01-20,87.11927032470703,58.20420455932617,99.56465911865234,21.085325241088867,47.33565902709961
2016-01-21,87.13835144042969,58.59298324584961,99.50218963623047,20.94405174255371,47.5736198425293
2016-01-22,87.1001968383789,60.21563720703125,99.37715911865234,21.62394142150879,48.715850830078125
2016-01-25,87.11927032470703,59.62404251098633,99.43071746826172,21.500322341918945,48.02099609375
2016-01-26,87.1001968383789,60.90019226074219,99.40393829345703,21.6151065826416,48.55403518676758
2016-01-27,87.11927032470703,59.953651428222656,99.45752716064453,21.588623046875,47.68783950805664
2016-01-28,87.11927032470703,59.55642318725586,99.47535705566406,21.8535099029541,47.9638786315918
2016-01-29,87.13835144042969,60.8494873046875,99.60930633544922,22.683500289916992,49.04899215698242
2016-02-01,87.1001968383789,60.85793685913086,99.38026428222656,22.551055908203125,49.1536979675293
2016-02-02,87.1001968383789,60.21563720703125,99.63970947265625,21.994787216186523,48.239933013916016
2016-02-03,87.11927032470703,60.51143264770508,99.72919464111328,22.0919132232666,48.37317657470703
2016-02-04,87.13835144042969,60.57904815673828,99.8097152709961,22.462764739990234,48.4017333984375
2016-02-05,87.13835144042969,59.2183723449707,99.89025115966797,22.3568058013916,46.96443557739258
2016-02-08,87.11927032470703,57.4774169921875,100.14971160888672,22.08308219909668,46.069698333740234
2016-02-09,87.13835144042969,56.54777526855469,100.15864562988281,21.871171951293945,46.069698333740234
2016-02-10,87.11927032470703,56.843570709228516,100.18548583984375,21.897663116455078,46.241031646728516
2016-02-11,87.13835144042969,56.00687789916992,100.33758544921875,21.517982482910156,45.86029052734375
2016-02-12,87.11927032470703,56.73369216918945,100.0870590209961,21.738731384277344,46.650325775146484
2016-02-16,87.11927032470703,57.82391357421875,100.14075469970703,22.259681701660156,47.56410217285156
2016-02-17,87.11927032470703,58.347896575927734,100.0065689086914,22.612865447998047,48.48740005493164
2016-02-18,87.13835144042969,58.905677795410156,99.9975814819336,22.665843963623047,48.08762741088867
2016-02-19,87.13835144042969,59.03245544433594,99.92603302001953,22.59520721435547,48.23040771484375
2016-02-22,87.13835144042969,59.71701431274414,99.82762908935547,22.974882125854492,48.95381164550781
2016-02-23,87.11927032470703,59.573341369628906,99.8634033203125,22.657012939453125,48.37317657470703
2016-02-24,87.13835144042969,59.59868240356445,99.72919464111328,22.54222869873047,48.668251037597656
2016-02-25,87.11927032470703,60.68046951293945,99.80075073242188,22.5157413482666,49.22985076904297
2016-02-26,87.11927032470703,60.4945182800293,99.63970947265625,22.45393180847168,49.20128631591797
2016-02-29,87.13835144042969,60.39310836791992,99.63081359863281,22.489248275756836,48.83006286621094
2016-03-01,87.13835144042969,61.96506118774414,99.44342041015625,23.24860382080078,50.13410949707031
2016-03-02,87.11927032470703,62.43832778930664,99.33587646484375,23.575298309326172,50.153141021728516
2016-03-03,87.13835144042969,62.75102615356445,99.39862823486328,23.875511169433594,50.28640365600586
2016-03-04,87.13835144042969,62.92006301879883,99.21936798095703,24.237529754638672,50.4101448059082
2016-03-07,87.13835144042969,63.03837203979492,99.24628448486328,24.352319717407227,50.30543899536133
2016-03-08,87.11927032470703,62.38762664794922,99.33587646484375,24.06976890563965,49.74384689331055
2016-03-09,87.13835144042969,62.64116668701172,99.30901336669922,24.14923095703125,49.972286224365234
2016-03-10,87.13835144042969,62.48058319091797,99.37174224853516,24.12274169921875,49.9818115234375
2016-03-11,87.11927032470703,63.959564208984375,99.29107666015625,24.537738800048828,50.89559555053711
2016-03-14,87.11927032470703,63.87505340576172,99.3628158569336,24.50766944885254,50.91462707519531
2016-03-15,87.11927032470703,63.8581428527832,99.34486389160156,24.06545639038086,50.82896041870117
2016-03-16,87.13835144042969,64.66947937011719,99.38072204589844,24.321935653686523,51.18115234375
2016-03-17,87.11927032470703,65.57376861572266,99.50617980957031,24.94988441467285,51.428619384765625
2016-03-18,87.11927032470703,65.32022094726562,99.54207611083984,25.250591278076172,51.65483474731445
2016-03-21,87.13835144042969,64.89765930175781,99.55996704101562,25.330190658569336,51.750282287597656
2016-03-22,87.13835144042969,64.91458129882812,99.57788848876953,25.285972595214844,51.77891159057617
2016-03-23,87.11927032470703,64.45703887939453,99.6764907836914,24.93219757080078,51.435302734375
2016-03-24,87.13835144042969,64.50835418701172,99.55101776123047,24.817218780517578,51.45439529418945
2016-03-28,87.13835144042969,65.0043716430664,99.66752624511719,24.834911346435547,51.483028411865234
2016-03-29,87.13835144042969,66.29571533203125,99.80197143554688,24.976421356201172,52.12251663208008
2016-03-30,87.13835144042969,66.193115234375,99.9095230102539,25.36557388305664,52.36112594604492
