Date,BIL,HYG,IYR,JEDAX,VEMAX,VIGRX
2016-01-04,87.13835144042969,62.029666900634766,62.83554458618164,6.200311183929443,23.41636848449707,51.21922302246094
2016-01-05,87.13835144042969,62.14583969116211,63.866615295410156,6.2164998054504395,23.434030532836914,51.24776840209961
2016-01-06,87.1001968383789,62.14583969116211,63.655303955078125,6.208406448364258,23.11615562438965,50.657623291015625
2016-01-07,87.11927032470703,61.74311447143555,62.23549270629883,6.192215919494629,22.3568058013916,49.40118408203125
2016-01-08,87.11927032470703,61.580509185791016,61.500247955322266,6.192215919494629,22.312658309936523,48.91573715209961
2016-01-11,87.11927032470703,61.48760223388672,61.74531936645508,6.176028251647949,21.977127075195312,48.97284698486328
2016-01-12,87.13835144042969,61.54954147338867,61.31429672241211,6.159841060638428,22.0654239654541,49.42973327636719
2016-01-13,87.11927032470703,60.86808776855469,60.3846549987793,6.143651485443115,21.8535099029541,47.95436477661133
2016-01-14,87.1001968383789,61.13909912109375,60.300148010253906,6.127460956573486,22.10074234008789,48.706329345703125
2016-01-15,87.1001968383789,60.33370590209961,59.61559295654297,6.086989402770996,21.341386795043945,47.68783950805664
2016-01-19,87.11927032470703,60.12464141845703,59.793087005615234,6.0950846672058105,21.535640716552734,47.68783950805664
2016-01-20,87.11927032470703,59.72194290161133,58.20420455932617,6.062706470489502,21.085325241088867,47.33565902709961
2016-01-21,87.13835144042969,60.12464141845703,58.59298324584961,6.07080078125,20.94405174255371,47.5736198425293
2016-01-22,87.1001968383789,61.046199798583984,60.21563720703125,6.119366645812988,21.62394142150879,48.715850830078125
2016-01-25,87.11927032470703,60.442138671875,59.62404251098633,6.11127233505249,21.500322341918945,48.02099609375
2016-01-26,87.1001968383789,60.98421859741211,60.90019226074219,6.119366645812988,21.6151065826416,48.55403518676758
2016-01-27,87.11927032470703,60.89131546020508,59.953651428222656,6.146158695220947,21.588623046875,47.68783950805664
2016-01-28,87.11927032470703,61.20106506347656,59.55642318725586,6.170517444610596,21.8535099029541,47.9638786315918
2016-01-29,87.13835144042969,61.40238571166992,60.8494873046875,6.178638935089111,22.683500289916992,49.04899215698242
2016-02-01,87.1001968383789,61.037391662597656,60.85793685913086,6.170517444610596,22.551055908203125,49.1536979675293
2016-02-02,87.1001968383789,60.60158920288086,60.21563720703125,6.146158695220947,21.994787216186523,48.239933013916016
2016-02-03,87.11927032470703,60.897308349609375,60.51143264770508,6.1542792320251465,22.0919132232666,48.37317657470703
2016-02-04,87.13835144042969,60.7027702331543,60.57904815673828,6.162398815155029,22.462764739990234,48.4017333984375
2016-02-05,87.13835144042969,60.235843658447266,59.2183723449707,6.170517444610596,22.3568058013916,46.96443557739258
2016-02-08,87.11927032470703,59.53542709350586,57.4774169921875,6.1380414962768555,22.08308219909668,46.069698333740234
2016-02-09,87.13835144042969,59.30971908569336,56.54777526855469,6.121804237365723,21.871171951293945,46.069698333740234
2016-02-10,87.11927032470703,59.224124908447266,56.843570709228516,6.121804237365723,21.897663116455078,46.241031646728516
2016-02-11,87.13835144042969,58.82719039916992,56.00687789916992,6.105564594268799,21.517982482910156,45.86029052734375
2016-02-12,87.11927032470703,59.70661163330078,56.73369216918945,6.121804237365723,21.738731384277344,46.650325775146484
2016-02-16,87.11927032470703,59.76106262207031,57.82391357421875,6.1380414962768555,22.259681701660156,47.56410217285156
2016-02-17,87.11927032470703,60.251373291015625,58.347896575927734,6.178638935089111,22.612865447998047,48.48740005493164
2016-02-18,87.13835144042969,60.30585479736328,58.905677795410156,6.194875717163086,22.665843963623047,48.08762741088867
2016-02-19,87.13835144042969,60.42258834838867,59.03245544433594,6.194875717163086,22.59520721435547,48.23040771484375
2016-02-22,87.13835144042969,60.944007873535156,59.71701431274414,6.21923303604126,22.974882125854492,48.95381164550781
2016-02-23,87.11927032470703,60.81950378417969,59.573341369628906,6.21923303604126,22.657012939453125,48.37317657470703
2016-02-24,87.13835144042969,60.920684814453125,59.59868240356445,6.2111124992370605,22.54222869873047,48.668251037597656
2016-02-25,87.11927032470703,61.24753189086914,60.68046951293945,6.232294082641602,22.5157413482666,49.22985076904297
2016-02-26,87.11927032470703,61.65999221801758,60.4945182800293,6.248588562011719,22.45393180847168,49.20128631591797
2016-02-29,87.13835144042969,62.32148742675781,60.39310836791992,6.264882564544678,22.489248275756836,48.83006286621094
2016-03-01,87.13835144042969,63.30644989013672,61.96506118774414,6.289322853088379,23.24860382080078,50.13410949707031
2016-03-02,87.11927032470703,62.87620162963867,62.43832778930664,6.305614948272705,23.575298309326172,50.153141021728516
2016-03-03,87.13835144042969,63.087406158447266,62.75102615356445,6.321910381317139,23.875511169433594,50.28640365600586
2016-03-04,87.13835144042969,63.26735305786133,62.92006301879883,6.338205337524414,24.237529754638672,50.4101448059082
2016-03-07,87.13835144042969,63.34559631347656,63.03837203979492,6.338205337524414,24.352319717407227,50.30543899536133
2016-03-08,87.11927032470703,62.89963150024414,62.38762664794922,6.330057621002197,24.06976890563965,49.74384689331055
2016-03-09,87.13835144042969,63.05608367919922,62.64116668701172,6.346351146697998,24.14923095703125,49.972286224365234
2016-03-10,87.13835144042969,63.49423599243164,62.48058319091797,6.354497909545898,24.12274169921875,49.9818115234375
2016-03-11,87.11927032470703,64.26089477539062,63.959564208984375,6.370790004730225,24.537738800048828,50.89559555053711
2016-03-14,87.11927032470703,64.08098602294922,63.87505340576172,6.370790004730225,24.50766944885254,50.91462707519531
2016-03-15,87.11927032470703,63.48641586303711,63.8581428527832,6.346351146697998,24.06545639038086,50.82896041870117
