Date,BIL,CBFSX,GVI,HYG,IYR,JEDAX,JKD,LDVIX,USCI,VEMAX,VIGRX,VTIAX,^RUT
2016-01-06,87.1001968383789,7.944394588470459,99.76026916503906,62.14583969116211,63.655303955078125,6.208406448364258,105.80867004394531,8.487785339355469,39.4900016784668,23.11615562438965,50.657623291015625,20.465402603149414,1094.3699951171875
2016-01-07,87.11927032470703,7.944394588470459,99.89619445800781,61.74311447143555,62.23549270629883,6.192215919494629,102.88542938232422,8.048084259033203,39.369998931884766,22.3568058013916,49.40118408203125,20.071331024169922,1064.5699462890625
2016-01-08,87.11927032470703,7.9525909423828125,100.05931091308594,61.580509185791016,61.500247955322266,6.192215919494629,102.0411605834961,7.993122100830078,39.16999816894531,22.312658309936523,48.91573715209961,19.861162185668945,1046.199951171875
2016-01-11,87.11927032470703,7.936196804046631,99.80558776855469,61.48760223388672,61.74531936645508,6.176028251647949,102.16824340820312,8.055935859680176,38.70000076293945,21.977127075195312,48.97284698486328,19.791105270385742,1041.9000244140625
2016-01-12,87.13835144042969,7.9525909423828125,99.97777557373047,61.54954147338867,61.31429672241211,6.159841060638428,102.86727905273438,8.244379043579102,38.58000183105469,22.0654239654541,49.42973327636719,19.86991310119629,1044.699951171875
2016-01-13,87.11927032470703,7.968992233276367,100.0955810546875,60.86808776855469,60.3846549987793,6.143651485443115,100.21638488769531,7.773271083831787,38.709999084472656,21.8535099029541,47.95436477661133,19.668506622314453,1010.1900024414062
2016-01-14,87.1001968383789,7.919800281524658,100.06837463378906,61.13909912109375,60.300148010253906,6.127460956573486,101.75064849853516,8.063788414001465,38.75,22.10074234008789,48.706329345703125,19.782346725463867,1025.6700439453125
2016-01-15,87.1001968383789,7.927999973297119,100.14089965820312,60.33370590209961,59.61559295654297,6.086989402770996,99.42657470703125,7.616236209869385,38.459999084472656,21.341386795043945,47.68783950805664,19.178104400634766,1007.719970703125
2016-01-19,87.11927032470703,7.919800281524658,100.02306365966797,60.12464141845703,59.793087005615234,6.0950846672058105,99.92588806152344,7.647642612457275,38.709999084472656,21.535640716552734,47.68783950805664,19.309459686279297,994.8699951171875
2016-01-20,87.11927032470703,7.895203113555908,100.30401611328125,59.72194290161133,58.20420455932617,6.062706470489502,98.56413269042969,7.702606201171875,38.59000015258789,21.085325241088867,47.33565902709961,18.854095458984375,999.3099975585938
2016-01-21,87.13835144042969,7.8870038986206055,100.25868225097656,60.12464141845703,58.59298324584961,6.07080078125,98.64583587646484,7.67119836807251,38.81999969482422,20.94405174255371,47.5736198425293,18.906633377075195,997.3400268554688
2016-01-22,87.1001968383789,7.895203113555908,100.18621826171875,61.046199798583984,60.21563720703125,6.119366645812988,100.3979721069336,8.048084259033203,39.20000076293945,21.62394142150879,48.715850830078125,19.493364334106445,1020.6599731445312
2016-01-25,87.11927032470703,7.90340518951416,100.20430755615234,60.442138671875,59.62404251098633,6.11127233505249,99.02711486816406,7.922455310821533,38.880001068115234,21.500322341918945,48.02099609375,19.309459686279297,997.3699951171875
2016-01-26,87.1001968383789,7.90340518951416,100.33119201660156,60.98421859741211,60.90019226074219,6.119366645812988,100.69754791259766,7.922455310821533,39.290000915527344,21.6151065826416,48.55403518676758,19.554658889770508,1017.969970703125
2016-01-27,87.11927032470703,7.897650718688965,100.34025573730469,60.89131546020508,59.953651428222656,6.146158695220947,99.83509826660156,7.5298662185668945,39.400001525878906,21.588623046875,47.68783950805664,19.519636154174805,1002.75
2016-01-28,87.11927032470703,7.9058685302734375,100.30401611328125,61.20106506347656,59.55642318725586,6.170517444610596,99.79877471923828,7.891048431396484,39.16999816894531,21.8535099029541,47.9638786315918,19.59844398498535,1003.27001953125
2016-01-29,87.13835144042969,7.922306537628174,100.51243591308594,61.40238571166992,60.8494873046875,6.178638935089111,102.1864013671875,8.189416885375977,39.43000030517578,22.683500289916992,49.04899215698242,20.027544021606445,1035.3800048828125
2016-02-01,87.1001968383789,7.897650718688965,100.3345718383789,61.037391662597656,60.85793685913086,6.170517444610596,102.63125610351562,8.283638000488281,39.459999084472656,22.551055908203125,49.1536979675293,19.99251937866211,1032.3900146484375
2016-02-02,87.1001968383789,7.938741683959961,100.6521987915039,60.60158920288086,60.21563720703125,6.146158695220947,100.497802734375,8.095194816589355,39.33000183105469,21.994787216186523,48.239933013916016,19.589691162109375,1008.8400268554688
2016-02-03,87.11927032470703,7.914085865020752,100.66129302978516,60.897308349609375,60.51143264770508,6.1542792320251465,100.95174407958984,7.843937397003174,39.56999969482422,22.0919132232666,48.37317657470703,19.67725944519043,1010.2999877929688
2016-02-04,87.13835144042969,7.922306537628174,100.87911987304688,60.7027702331543,60.57904815673828,6.162398815155029,101.29672241210938,7.788974761962891,39.43000030517578,22.462764739990234,48.4017333984375,19.799861907958984,1014.7899780273438
2016-02-05,87.13835144042969,7.922306537628174,100.89728546142578,60.235843658447266,59.2183723449707,6.170517444610596,99.32669830322266,7.207943439483643,39.43000030517578,22.3568058013916,46.96443557739258,19.545902252197266,985.6199951171875
2016-02-08,87.11927032470703,7.938741683959961,101.15142059326172,59.53542709350586,57.4774169921875,6.1380414962768555,98.21914672851562,7.0273518562316895,39.56999969482422,22.08308219909668,46.069698333740234,19.221887588500977,969.3400268554688
2016-02-09,87.13835144042969,7.914085865020752,101.02435302734375,59.30971908569336,56.54777526855469,6.121804237365723,98.32808685302734,6.9566850662231445,39.380001068115234,21.871171951293945,46.069698333740234,18.994203567504883,963.9000244140625
