Date,BIL,BNDX,CBFSX,GVI,HYG,ILTB,IYR,JEDAX,JKD,LDVIX,MDY,MUB,USCI,VEMAX,VIGRX,VISVX,VTIAX,^RUT
2016-01-04,87.13835144042969,47.30316162109375,7.911604404449463,99.47933197021484,62.029666900634766,48.7529411315918,62.83554458618164,6.200311183929443,106.4986343383789,8.558449745178223,235.21971130371094,98.6360855102539,40.09000015258789,23.41636848449707,51.21922302246094,21.366973876953125,20.806928634643555,1108.6199951171875
2016-01-05,87.13835144042969,47.27635955810547,7.911604404449463,99.52465057373047,62.14583969116211,48.60369110107422,63.866615295410156,6.2164998054504395,106.99794006347656,8.495635986328125,235.2947235107422,98.75215148925781,39.84000015258789,23.434030532836914,51.24776840209961,21.39443016052246,20.780654907226562,1110.43994140625
2016-01-06,87.1001968383789,47.45491027832031,7.944394588470459,99.76026916503906,62.14583969116211,49.11783218383789,63.655303955078125,6.208406448364258,105.80867004394531,8.487785339355469,231.97488403320312,99.18965148925781,39.4900016784668,23.11615562438965,50.657623291015625,21.083171844482422,20.465402603149414,1094.3699951171875
2016-01-07,87.11927032470703,47.38349151611328,7.944394588470459,99.89619445800781,61.74311447143555,49.126121520996094,62.23549270629883,6.192215919494629,102.88542938232422,8.048084259033203,226.04794311523438,99.33251953125,39.369998931884766,22.3568058013916,49.40118408203125,20.533893585205078,20.071331024169922,1064.5699462890625
2016-01-08,87.11927032470703,47.37457275390625,7.9525909423828125,100.05931091308594,61.580509185791016,49.258811950683594,61.500247955322266,6.192215919494629,102.0411605834961,7.993122100830078,223.02828979492188,99.37715911865234,39.16999816894531,22.312658309936523,48.91573715209961,20.250097274780273,19.861162185668945,1046.199951171875
2016-01-11,87.11927032470703,47.32099914550781,7.936196804046631,99.80558776855469,61.48760223388672,48.869056701660156,61.74531936645508,6.176028251647949,102.16824340820312,8.055935859680176,222.35305786132812,99.2164306640625,38.70000076293945,21.977127075195312,48.97284698486328,20.213476181030273,19.791105270385742,1041.9000244140625
2016-01-12,87.13835144042969,47.38349151611328,7.9525909423828125,99.97777557373047,61.54954147338867,49.22562789916992,61.31429672241211,6.159841060638428,102.86727905273438,8.244379043579102,223.27206420898438,99.25216674804688,38.58000183105469,22.0654239654541,49.42973327636719,20.222637176513672,19.86991310119629,1044.699951171875
2016-01-13,87.11927032470703,47.49060821533203,7.968992233276367,100.0955810546875,60.86808776855469,49.35832595825195,60.3846549987793,6.143651485443115,100.21638488769531,7.773271083831787,217.25137329101562,99.29680633544922,38.709999084472656,21.8535099029541,47.95436477661133,19.664199829101562,19.668506622314453,1010.1900024414062
2016-01-14,87.1001968383789,47.338871002197266,7.919800281524658,100.06837463378906,61.13909912109375,49.10954284667969,60.300148010253906,6.127460956573486,101.75064849853516,8.063788414001465,219.8209686279297,99.11820983886719,38.75,22.10074234008789,48.706329345703125,19.911375045776367,19.782346725463867,1025.6700439453125
2016-01-15,87.1001968383789,47.40134048461914,7.927999973297119,100.14089965820312,60.33370590209961,49.28369140625,59.61559295654297,6.086989402770996,99.42657470703125,7.616236209869385,216.66058349609375,99.42179870605469,38.459999084472656,21.341386795043945,47.68783950805664,19.58181381225586,19.178104400634766,1007.719970703125
2016-01-19,87.11927032470703,47.25851058959961,7.919800281524658,100.02306365966797,60.12464141845703,49.126121520996094,59.793087005615234,6.0950846672058105,99.92588806152344,7.647642612457275,215.4695587158203,99.41289520263672,38.709999084472656,21.535640716552734,47.68783950805664,19.398712158203125,19.309459686279297,994.8699951171875
2016-01-20,87.11927032470703,47.40134048461914,7.895203113555908,100.30401611328125,59.72194290161133,49.10954284667969,58.20420455932617,6.062706470489502,98.56413269042969,7.702606201171875,214.072265625,99.56465911865234,38.59000015258789,21.085325241088867,47.33565902709961,19.30716896057129,18.854095458984375,999.3099975585938
2016-01-21,87.13835144042969,47.44597244262695,7.8870038986206055,100.25868225097656,60.12464141845703,49.092960357666016,58.59298324584961,6.07080078125,98.64583587646484,7.67119836807251,214.40045166015625,99.50218963623047,38.81999969482422,20.94405174255371,47.5736198425293,19.316322326660156,18.906633377075195,997.3400268554688
2016-01-22,87.1001968383789,47.34779739379883,7.895203113555908,100.18621826171875,61.046199798583984,49.10954284667969,60.21563720703125,6.119366645812988,100.3979721069336,8.048084259033203,219.7647247314453,99.37715911865234,39.20000076293945,21.62394142150879,48.715850830078125,19.755746841430664,19.493364334106445,1020.6599731445312
2016-01-25,87.11927032470703,47.463836669921875,7.90340518951416,100.20430755615234,60.442138671875,49.242225646972656,59.62404251098633,6.11127233505249,99.02711486816406,7.922455310821533,215.20697021484375,99.43071746826172,38.880001068115234,21.500322341918945,48.02099609375,19.30716896057129,19.309459686279297,997.3699951171875
2016-01-26,87.1001968383789,47.42812728881836,7.90340518951416,100.33119201660156,60.98421859741211,49.408077239990234,60.90019226074219,6.119366645812988,100.69754791259766,7.922455310821533,220.02728271484375,99.40393829345703,39.290000915527344,21.6151065826416,48.55403518676758,19.79236602783203,19.554658889770508,1017.969970703125
2016-01-27,87.11927032470703,47.570960998535156,7.897650718688965,100.34025573730469,60.89131546020508,49.28369140625,59.953651428222656,6.146158695220947,99.83509826660156,7.5298662185668945,217.8046875,99.45752716064453,39.400001525878906,21.588623046875,47.68783950805664,19.609275817871094,19.519636154174805,1002.75
