Date,BIL,IYR,JKD,MUB,VIGRX,VISVX,^RUT
2007-12-19,85.86296844482422,39.052574157714844,61.09710693359375,70.53643035888672,28.39612579345703,11.954167366027832,756.1300048828125
2007-12-20,85.90037536621094,39.19939041137695,61.29410934448242,70.10041046142578,28.656484603881836,12.078529357910156,767.5399780273438
2007-12-21,85.90037536621094,39.86886215209961,62.32462692260742,70.01734161376953,29.133804321289062,12.3117036819458,785.5999755859375
2007-12-24,85.90037536621094,40.95529556274414,62.65806198120117,69.86511993408203,29.36812400817871,12.467156410217285,794.3900146484375
2007-12-26,85.86296844482422,40.274085998535156,62.55195617675781,69.78205108642578,29.42020606994629,12.428293228149414,797.030029296875
2007-12-27,85.90037536621094,39.49055099487305,61.804840087890625,70.23667907714844,29.012304306030273,12.132936477661133,773.510009765625
2007-12-28,85.89849853515625,38.908409118652344,61.9190559387207,70.29910278320312,29.055696487426758,12.094073295593262,771.760009765625
2007-12-31,85.87977600097656,39.027217864990234,61.279300689697266,70.76415252685547,28.838727951049805,12.039668083190918,766.030029296875
2008-01-02,85.95477294921875,38.70050048828125,60.45675277709961,70.98622131347656,28.430843353271484,11.853127479553223,753.5499877929688
2008-01-03,85.89849853515625,37.44711685180664,60.57100296020508,70.90290832519531,28.465553283691406,11.674359321594238,745.010009765625
2008-01-04,85.87977600097656,36.25908279418945,59.33720016479492,70.86827850341797,27.615068435668945,11.332366943359375,721.5999755859375
2008-01-07,85.95477294921875,36.59767150878906,59.47426986694336,70.79188537597656,27.580347061157227,11.394546508789062,723.9500122070312
2008-01-08,85.89849853515625,35.26706314086914,58.90305709838867,70.68779754638672,27.08567237854004,11.09141731262207,704.8599853515625
2008-01-09,85.84223175048828,35.96207046508789,59.55804443359375,70.86827850341797,27.441492080688477,11.184687614440918,712.1199951171875
2008-01-10,85.87977600097656,36.437286376953125,60.20542907714844,70.76415252685547,27.63241958618164,11.285727500915527,720.2100219726562
2008-01-11,85.91727447509766,36.37788391113281,59.28388214111328,70.8543701171875,27.155101776123047,11.083642959594727,704.6500244140625
2008-01-14,85.99227905273438,36.27688980102539,59.679927825927734,71.17362976074219,27.528274536132812,11.169139862060547,712.47998046875
2008-01-15,85.9735107421875,35.33241271972656,58.45372009277344,71.56228637695312,26.833993911743164,10.935965538024902,697.4299926757812
2008-01-16,85.9735107421875,35.789794921875,58.248104095458984,71.29158782958984,26.5562801361084,11.013689041137695,699.9099731445312
2008-01-17,85.93602752685547,35.35616683959961,56.67915725708008,71.72190856933594,25.896711349487305,10.726109504699707,680.5700073242188
2008-01-18,85.99227905273438,35.059146881103516,56.38974380493164,71.51366424560547,25.862003326416016,10.609518051147461,673.1799926757812
2008-01-22,86.02978515625,36.24125289916992,55.88709259033203,71.56919860839844,25.480144500732422,10.648383140563965,671.5700073242188
2008-01-23,86.1235580444336,39.20543670654297,56.73248291015625,71.65251159667969,25.78389549255371,11.099188804626465,693.4299926757812
2008-01-24,86.16109466552734,38.439125061035156,57.067588806152344,71.34017181396484,26.183107376098633,11.068099021911621,692.719970703125
2008-01-25,86.06729125976562,37.90452575683594,56.15365982055664,71.3957748413086,25.827285766601562,11.0059175491333,688.5999755859375
2008-01-28,86.10479736328125,39.312355041503906,56.991424560546875,71.36100006103516,26.165746688842773,11.27795696258545,702.3900146484375
2008-01-29,86.17984008789062,39.07473373413086,57.098060607910156,71.1458740234375,26.252532958984375,11.394546508789062,705.2000122070312
2008-01-30,86.21735382080078,38.15994644165039,56.762939453125,70.72250366210938,26.13103675842285,11.270183563232422,695.489990234375
2008-01-31,86.21735382080078,39.06880187988281,57.60834884643555,70.9515151977539,26.547603607177734,11.604401588439941,713.2999877929688
2008-02-01,86.20794677734375,40.58949661254883,58.49180221557617,71.41725158691406,26.912099838256836,11.868671417236328,730.5
2008-02-04,86.22676086425781,39.95983123779297,58.179542541503906,71.23626708984375,26.65174102783203,11.752080917358398,723.4600219726562
2008-02-05,86.17036437988281,38.69456481933594,56.59537887573242,71.63302612304688,25.888031005859375,11.448952674865723,701.5800170898438
2008-02-06,86.24554443359375,37.95203399658203,56.313602447509766,71.61910247802734,25.6363582611084,11.347911834716797,692.489990234375
2008-02-07,86.22676086425781,38.86683654785156,56.36689758300781,71.41725158691406,25.827285766601562,11.526677131652832,702.780029296875
2008-02-08,86.22676086425781,37.66096878051758,56.2374382019043,71.45905303955078,25.90538787841797,11.4334077835083,698.9000244140625
2008-02-11,86.24554443359375,36.90656280517578,56.663944244384766,71.69564819335938,26.20914077758789,11.42563533782959,699.75
2008-02-12,86.22676086425781,38.07083511352539,57.090431213378906,71.50769805908203,26.295921325683594,11.511133193969727,705.47998046875
2008-02-13,86.24554443359375,38.24904251098633,57.95868682861328,71.29891967773438,26.7298526763916,11.697674751281738,721.9299926757812
2008-02-14,86.26435852050781,37.96392059326172,57.18944549560547,70.63063049316406,26.37403106689453,11.472270965576172,705.3200073242188
2008-02-15,86.26435852050781,37.809471130371094,57.090431213378906,70.88124084472656,26.330646514892578,11.441180229187012,701.52001953125
2008-02-19,86.26435852050781,37.15010070800781,57.120906829833984,70.15723419189453,26.330646514892578,11.441180229187012,702.3400268554688
2008-02-20,86.22676086425781,38.01737594604492,57.49408721923828,70.58880615234375,26.608346939086914,11.604401588439941,710.02001953125
2008-02-21,86.30193328857422,37.15604782104492,56.90003204345703,70.33818054199219,26.278566360473633,11.410094261169434,696.280029296875
2008-02-22,86.30193328857422,38.029266357421875,57.417938232421875,70.04581451416016,26.426105499267578,11.448952674865723,695.4299926757812
