Date,BIL,CBFSX,GVI,HYG,ILTB,IYR,LDVIX,MUB,VIGRX
2016-01-07,87.11927032470703,7.944394588470459,99.89619445800781,61.74311447143555,49.126121520996094,62.23549270629883,8.048084259033203,99.33251953125,49.40118408203125
2016-01-08,87.11927032470703,7.9525909423828125,100.05931091308594,61.580509185791016,49.258811950683594,61.500247955322266,7.993122100830078,99.37715911865234,48.91573715209961
2016-01-11,87.11927032470703,7.936196804046631,99.80558776855469,61.48760223388672,48.869056701660156,61.74531936645508,8.055935859680176,99.2164306640625,48.97284698486328
2016-01-12,87.13835144042969,7.9525909423828125,99.97777557373047,61.54954147338867,49.22562789916992,61.31429672241211,8.244379043579102,99.25216674804688,49.42973327636719
2016-01-13,87.11927032470703,7.968992233276367,100.0955810546875,60.86808776855469,49.35832595825195,60.3846549987793,7.773271083831787,99.29680633544922,47.95436477661133
2016-01-14,87.1001968383789,7.919800281524658,100.06837463378906,61.13909912109375,49.10954284667969,60.300148010253906,8.063788414001465,99.11820983886719,48.706329345703125
2016-01-15,87.1001968383789,7.927999973297119,100.14089965820312,60.33370590209961,49.28369140625,59.61559295654297,7.616236209869385,99.42179870605469,47.68783950805664
2016-01-19,87.11927032470703,7.919800281524658,100.02306365966797,60.12464141845703,49.126121520996094,59.793087005615234,7.647642612457275,99.41289520263672,47.68783950805664
2016-01-20,87.11927032470703,7.895203113555908,100.30401611328125,59.72194290161133,49.10954284667969,58.20420455932617,7.702606201171875,99.56465911865234,47.33565902709961
2016-01-21,87.13835144042969,7.8870038986206055,100.25868225097656,60.12464141845703,49.092960357666016,58.59298324584961,7.67119836807251,99.50218963623047,47.5736198425293
2016-01-22,87.1001968383789,7.895203113555908,100.18621826171875,61.046199798583984,49.10954284667969,60.21563720703125,8.048084259033203,99.37715911865234,48.715850830078125
2016-01-25,87.11927032470703,7.90340518951416,100.20430755615234,60.442138671875,49.242225646972656,59.62404251098633,7.922455310821533,99.43071746826172,48.02099609375
2016-01-26,87.1001968383789,7.90340518951416,100.33119201660156,60.98421859741211,49.408077239990234,60.90019226074219,7.922455310821533,99.40393829345703,48.55403518676758
2016-01-27,87.11927032470703,7.897650718688965,100.34025573730469,60.89131546020508,49.28369140625,59.953651428222656,7.5298662185668945,99.45752716064453,47.68783950805664
2016-01-28,87.11927032470703,7.9058685302734375,100.30401611328125,61.20106506347656,49.291988372802734,59.55642318725586,7.891048431396484,99.47535705566406,47.9638786315918
2016-01-29,87.13835144042969,7.922306537628174,100.51243591308594,61.40238571166992,49.557342529296875,60.8494873046875,8.189416885375977,99.60930633544922,49.04899215698242
2016-02-01,87.1001968383789,7.897650718688965,100.3345718383789,61.037391662597656,49.40924072265625,60.85793685913086,8.283638000488281,99.38026428222656,49.1536979675293
2016-02-02,87.1001968383789,7.938741683959961,100.6521987915039,60.60158920288086,49.96674346923828,60.21563720703125,8.095194816589355,99.63970947265625,48.239933013916016
2016-02-03,87.11927032470703,7.914085865020752,100.66129302978516,60.897308349609375,49.916812896728516,60.51143264770508,7.843937397003174,99.72919464111328,48.37317657470703
2016-02-04,87.13835144042969,7.922306537628174,100.87911987304688,60.7027702331543,49.6422233581543,60.57904815673828,7.788974761962891,99.8097152709961,48.4017333984375
2016-02-05,87.13835144042969,7.922306537628174,100.89728546142578,60.235843658447266,49.916812896728516,59.2183723449707,7.207943439483643,99.89025115966797,46.96443557739258
2016-02-08,87.11927032470703,7.938741683959961,101.15142059326172,59.53542709350586,50.507591247558594,57.4774169921875,7.0273518562316895,100.14971160888672,46.069698333740234
2016-02-09,87.13835144042969,7.914085865020752,101.02435302734375,59.30971908569336,50.44102096557617,56.54777526855469,6.9566850662231445,100.15864562988281,46.069698333740234
2016-02-10,87.11927032470703,7.938741683959961,101.02435302734375,59.224124908447266,50.45766830444336,56.843570709228516,7.074462413787842,100.18548583984375,46.241031646728516
2016-02-11,87.13835144042969,7.922306537628174,101.19676971435547,58.82719039916992,50.4493522644043,56.00687789916992,7.168684005737305,100.33758544921875,45.86029052734375
2016-02-12,87.11927032470703,7.889434337615967,100.88818359375,59.70661163330078,50.09987258911133,56.73369216918945,7.22364616394043,100.0870590209961,46.650325775146484
2016-02-16,87.11927032470703,7.889434337615967,100.7248306274414,59.76106262207031,49.88352584838867,57.82391357421875,7.427792549133301,100.14075469970703,47.56410217285156
2016-02-17,87.11927032470703,7.889434337615967,100.77021789550781,60.251373291015625,49.625579833984375,58.347896575927734,7.74186372756958,100.0065689086914,48.48740005493164
2016-02-18,87.13835144042969,7.930527210235596,100.96989440917969,60.30585479736328,50.01664733886719,58.905677795410156,7.59268045425415,99.9975814819336,48.08762741088867
2016-02-19,87.13835144042969,7.938741683959961,101.01524353027344,60.42258834838867,50.507591247558594,59.03245544433594,7.647642612457275,99.92603302001953,48.23040771484375
2016-02-22,87.13835144042969,7.938741683959961,100.96989440917969,60.944007873535156,50.4493522644043,59.71701431274414,7.812530517578125,99.82762908935547,48.95381164550781
2016-02-23,87.11927032470703,7.955178737640381,101.12420654296875,60.81950378417969,50.59080505371094,59.573341369628906,7.600532531738281,99.8634033203125,48.37317657470703
2016-02-24,87.13835144042969,7.955178737640381,101.0969467163086,60.920684814453125,50.66570281982422,59.59868240356445,7.718308925628662,99.72919464111328,48.668251037597656
2016-02-25,87.11927032470703,7.989770889282227,101.28753662109375,61.24753189086914,50.89866638183594,60.68046951293945,7.836085319519043,99.80075073242188,49.22985076904297
