Date,BIL,GSG,GVI,HYG,IYR,JEDAX,JKD,LQD,MDY,MUB,PIGLX,VEMAX,VFINX,VGTSX,VIGRX,VISVX,VUSTX,^RUT
2007-12-19,85.86296844482422,50.880001068115234,75.68732452392578,43.53767395019531,39.052574157714844,4.486938953399658,61.09710693359375,63.0083122253418,130.34483337402344,70.42620086669922,5.363652229309082,29.8034725189209,103.51808166503906,13.533283233642578,28.39612579345703,11.954167366027832,6.139400005340576,756.1300048828125
2007-12-20,85.90037536621094,51.130001068115234,75.62103271484375,43.443870544433594,39.19939041137695,4.492242336273193,61.29410934448242,62.70309066772461,132.30465698242188,69.9908676147461,5.369008541107178,29.865928649902344,104.04961395263672,13.567424774169922,28.656484603881836,12.078529357910156,6.144713401794434,767.5399780273438
2007-12-21,85.90037536621094,51.75,75.4736328125,43.580322265625,39.86886215209961,4.497548580169678,62.32462692260742,62.63723373413086,133.75924682617188,69.90794372558594,5.342221260070801,30.615942001342773,105.80802154541016,13.813233375549316,29.133804321289062,12.3117036819458,6.059664726257324,785.5999755859375
2007-12-24,85.90037536621094,52.20000076293945,75.37781524658203,43.42678451538086,40.95529556274414,4.502850532531738,62.65806198120117,62.32009506225586,135.05543518066406,69.75599670410156,5.347580432891846,30.998014450073242,106.66017150878906,13.908825874328613,29.36812400817871,12.467156410217285,6.033085823059082,794.3900146484375
2007-12-26,85.86296844482422,53.27000045776367,75.17880249023438,43.234928131103516,40.274085998535156,4.497548580169678,62.55195617675781,62.33802032470703,134.97071838378906,69.67301177978516,5.35829496383667,31.1324520111084,106.75309753417969,13.977110862731934,29.42020606994629,12.428293228149414,5.985246658325195,797.030029296875
2007-12-27,85.90037536621094,53.130001068115234,75.4820556640625,43.520084381103516,39.49055099487305,4.502850532531738,61.804840087890625,62.70771026611328,132.8528289794922,70.12689208984375,5.390443801879883,30.863588333129883,105.25806427001953,13.915447235107422,29.012304306030273,12.132936477661133,6.011826515197754,773.510009765625
2007-12-28,85.89849853515625,52.810001373291016,75.8296127319336,43.09556198120117,38.908409118652344,4.508152008056641,61.9190559387207,62.90616226196289,132.59014892578125,70.18925476074219,5.444028377532959,30.962642669677734,105.41297912597656,14.006537437438965,29.055696487426758,12.094073295593262,6.075610160827637,771.760009765625
2007-12-31,85.87977600097656,52.7400016784668,76.06620788574219,43.189903259277344,39.027217864990234,4.516172885894775,61.279300689697266,63.02634811401367,131.39566040039062,70.65359497070312,5.464985370635986,30.849435806274414,104.69254302978516,13.936470985412598,28.838727951049805,12.039668083190918,6.158079147338867,766.030029296875
2008-01-02,85.95477294921875,54.65999984741211,76.29549407958984,42.666748046875,38.70050048828125,4.5322065353393555,60.45675277709961,63.771766662597656,130.50616455078125,70.87532806396484,5.55095911026001,30.538114547729492,103.19750213623047,13.859392166137695,28.430843353271484,11.853127479553223,6.2437615394592285,753.5499877929688
2008-01-03,85.89849853515625,54.65999984741211,76.42861938476562,42.58526611328125,37.44711685180664,4.53754997253418,60.57100296020508,63.56140899658203,129.54884338378906,70.79214477539062,5.572458267211914,30.59471321105957,103.19750213623047,13.866400718688965,28.465553283691406,11.674359321594238,6.233044147491455,745.010009765625
2008-01-04,85.87977600097656,54.29999923706055,76.61341094970703,42.53811264038086,36.25908279418945,4.53754997253418,59.33720016479492,64.08441162109375,125.93140411376953,70.75750732421875,5.604699611663818,30.035749435424805,100.66443634033203,13.54409122467041,27.615068435668945,11.332366943359375,6.2437615394592285,721.5999755859375
2008-01-07,85.95477294921875,52.68000030517578,76.672607421875,42.28510284423828,36.59767150878906,4.542893886566162,59.47426986694336,64.00621795654297,125.16053009033203,70.6812744140625,5.588576793670654,30.056978225708008,100.98976135253906,13.54409122467041,27.580347061157227,11.394546508789062,6.2598161697387695,723.9500122070312
2008-01-08,85.89849853515625,53.70000076293945,76.80570983886719,42.040672302246094,35.26706314086914,4.569617748260498,58.90305709838867,63.88600158691406,122.23777770996094,70.57733154296875,5.583205699920654,29.993284225463867,99.16939544677734,13.474020004272461,27.08567237854004,11.09141731262207,6.249113082885742,704.8599853515625
2008-01-09,85.84223175048828,53.5,76.71697998046875,41.581844329833984,35.96207046508789,4.564273357391357,59.55804443359375,63.75382995605469,122.92399597167969,70.75750732421875,5.5778303146362305,30.72208023071289,100.5250244140625,13.663204193115234,27.441492080688477,11.184687614440918,6.281239986419678,712.1199951171875
2008-01-10,85.87977600097656,52.7599983215332,76.6060562133789,41.89059066772461,36.437286376953125,4.564273357391357,60.20542907714844,63.567440032958984,123.85586547851562,70.65359497070312,5.599328517913818,30.67962646484375,101.32290649414062,13.635177612304688,27.63241958618164,11.285727500915527,6.200912952423096,720.2100219726562
2008-01-11,85.91727447509766,52.650001525878906,76.93881225585938,41.98064041137695,36.37788391113281,4.585651874542236,59.28388214111328,64.03033447265625,122.44111633300781,70.74362182617188,5.620821952819824,30.18433380126953,99.9594955444336,13.396949768066406,27.155101776123047,11.083642959594727,6.2437615394592285,704.6500244140625
2008-01-14,85.99227905273438,53.36000061035156,76.8945083618164,41.83486557006836,36.27688980102539,4.590996742248535,59.679927825927734,63.765811920166016,123.6102066040039,71.06243133544922,5.669185638427734,30.488584518432617,101.04400634765625,13.565109252929688,27.528274536132812,11.169139862060547,6.2598161697387695,712.47998046875
2008-01-15,85.9735107421875,52.38999938964844,76.90186309814453,41.94207000732422,35.33241271972656,4.585651874542236,58.45372009277344,64.10845947265625,120.80607604980469,71.45048522949219,5.690676689147949,29.413097381591797,98.52645111083984,13.12368106842041,26.833993911743164,10.935965538024902,6.313366413116455,697.4299926757812
