Date,BIL,IYR
2016-01-04,87.13835144042969,62.83554458618164
2016-01-05,87.13835144042969,63.866615295410156
2016-01-06,87.1001968383789,63.655303955078125
2016-01-07,87.11927032470703,62.23549270629883
2016-01-08,87.11927032470703,61.500247955322266
2016-01-11,87.11927032470703,61.74531936645508
2016-01-12,87.13835144042969,61.31429672241211
2016-01-13,87.11927032470703,60.3846549987793
2016-01-14,87.1001968383789,60.300148010253906
2016-01-15,87.1001968383789,59.61559295654297
2016-01-19,87.11927032470703,59.793087005615234
2016-01-20,87.11927032470703,58.20420455932617
2016-01-21,87.13835144042969,58.59298324584961
2016-01-22,87.1001968383789,60.21563720703125
2016-01-25,87.11927032470703,59.62404251098633
2016-01-26,87.1001968383789,60.90019226074219
2016-01-27,87.11927032470703,59.953651428222656
2016-01-28,87.11927032470703,59.55642318725586
2016-01-29,87.13835144042969,60.8494873046875
2016-02-01,87.1001968383789,60.85793685913086
2016-02-02,87.1001968383789,60.21563720703125
2016-02-03,87.11927032470703,60.51143264770508
2016-02-04,87.13835144042969,60.57904815673828
2016-02-05,87.13835144042969,59.2183723449707
2016-02-08,87.11927032470703,57.4774169921875
2016-02-09,87.13835144042969,56.54777526855469
2016-02-10,87.11927032470703,56.843570709228516
2016-02-11,87.13835144042969,56.00687789916992
2016-02-12,87.11927032470703,56.73369216918945
2016-02-16,87.11927032470703,57.82391357421875
2016-02-17,87.11927032470703,58.347896575927734
2016-02-18,87.13835144042969,58.905677795410156
2016-02-19,87.13835144042969,59.03245544433594
2016-02-22,87.13835144042969,59.71701431274414
2016-02-23,87.11927032470703,59.573341369628906
2016-02-24,87.13835144042969,59.59868240356445
2016-02-25,87.11927032470703,60.68046951293945
2016-02-26,87.11927032470703,60.4945182800293
2016-02-29,87.13835144042969,60.39310836791992
2016-03-01,87.13835144042969,61.96506118774414
2016-03-02,87.11927032470703,62.43832778930664
2016-03-03,87.13835144042969,62.75102615356445
2016-03-04,87.13835144042969,62.92006301879883
2016-03-07,87.13835144042969,63.03837203979492
2016-03-08,87.11927032470703,62.38762664794922
2016-03-09,87.13835144042969,62.64116668701172
2016-03-10,87.13835144042969,62.48058319091797
2016-03-11,87.11927032470703,63.959564208984375
2016-03-14,87.11927032470703,63.87505340576172
2016-03-15,87.11927032470703,63.8581428527832
2016-03-16,87.13835144042969,64.66947937011719
2016-03-17,87.11927032470703,65.57376861572266
2016-03-18,87.11927032470703,65.32022094726562
2016-03-21,87.13835144042969,64.89765930175781
2016-03-22,87.13835144042969,64.91458129882812
2016-03-23,87.11927032470703,64.45703887939453
2016-03-24,87.13835144042969,64.50835418701172
2016-03-28,87.13835144042969,65.0043716430664
2016-03-29,87.13835144042969,66.29571533203125
2016-03-30,87.13835144042969,66.193115234375
2016-03-31,87.13835144042969,66.58648681640625
2016-04-01,87.13835144042969,66.6292724609375
2016-04-04,87.13835144042969,66.5351791381836
2016-04-05,87.15740966796875,66.15890502929688
2016-04-06,87.15740966796875,66.3213882446289
2016-04-07,87.13835144042969,65.96220397949219
2016-04-08,87.15740966796875,66.3384780883789
2016-04-11,87.13835144042969,66.25296783447266
2016-04-12,87.13835144042969,66.70623779296875
2016-04-13,87.15740966796875,66.55229187011719
2016-04-14,87.15740966796875,66.12469482421875
2016-04-15,87.13835144042969,66.56084442138672
2016-04-18,87.15740966796875,66.84306335449219
2016-04-19,87.15740966796875,66.9114761352539
2016-04-20,87.15740966796875,65.97074890136719
2016-04-21,87.13835144042969,64.85042572021484
2016-04-22,87.15740966796875,65.54312896728516
2016-04-25,87.13835144042969,65.95364379882812
2016-04-26,87.15740966796875,66.193115234375
2016-04-27,87.15740966796875,66.17598724365234
2016-04-28,87.15740966796875,66.02206420898438
2016-04-29,87.17648315429688,65.47472381591797
2016-05-02,87.15740966796875,66.34703826904297
2016-05-03,87.17648315429688,66.20164489746094
2016-05-04,87.15740966796875,67.09107971191406
2016-05-05,87.15740966796875,67.3476333618164
2016-05-06,87.17648315429688,68.00615692138672
2016-05-09,87.17648315429688,68.5534896850586
2016-05-10,87.17648315429688,68.6817626953125
2016-05-11,87.13835144042969,67.45881652832031
2016-05-12,87.13835144042969,67.79232788085938
2016-05-13,87.13835144042969,67.2449951171875
2016-05-16,87.13835144042969,67.77523040771484
2016-05-17,87.13835144042969,66.74898529052734
2016-05-18,87.15740966796875,65.81681060791016
2016-05-19,87.13835144042969,65.10699462890625
2016-05-20,87.15740966796875,65.62866973876953
2016-05-23,87.17648315429688,65.68853759765625
2016-05-24,87.13835144042969,66.4753189086914
2016-05-25,87.15740966796875,66.57793426513672
2016-05-26,87.15740966796875,66.62071990966797
2016-05-27,87.17648315429688,66.9114761352539
2016-05-31,87.17648315429688,66.9200439453125
2016-06-01,87.17648315429688,66.96280670166016
2016-06-02,87.15740966796875,67.32197570800781
2016-06-03,87.17648315429688,67.52723693847656
2016-06-06,87.195556640625,67.10816955566406
2016-06-07,87.195556640625,67.5186767578125
2016-06-08,87.195556640625,67.87786102294922
2016-06-09,87.15740966796875,67.9804916381836
2016-06-10,87.15740966796875,67.64695739746094
2016-06-13,87.15740966796875,67.59564208984375
2016-06-14,87.15740966796875,67.2279052734375
2016-06-15,87.15740966796875,67.84365844726562
2016-06-16,87.17648315429688,68.18572998046875
2016-06-17,87.15740966796875,68.0831069946289
2016-06-20,87.17648315429688,68.2114028930664
2016-06-21,87.17648315429688,68.49185943603516
2016-06-22,87.17648315429688,68.45735168457031
2016-06-23,87.17648315429688,68.9146957397461
2016-06-24,87.15740966796875,68.07764434814453
