Date,BIL,ILTB,IYR,VEMAX,VIGRX
2016-01-04,87.13835144042969,48.7529411315918,62.83554458618164,23.41636848449707,51.21922302246094
2016-01-05,87.13835144042969,48.60369110107422,63.866615295410156,23.434030532836914,51.24776840209961
2016-01-06,87.1001968383789,49.11783218383789,63.655303955078125,23.11615562438965,50.657623291015625
2016-01-07,87.11927032470703,49.126121520996094,62.23549270629883,22.3568058013916,49.40118408203125
2016-01-08,87.11927032470703,49.258811950683594,61.500247955322266,22.312658309936523,48.91573715209961
2016-01-11,87.11927032470703,48.869056701660156,61.74531936645508,21.977127075195312,48.97284698486328
2016-01-12,87.13835144042969,49.22562789916992,61.31429672241211,22.0654239654541,49.42973327636719
2016-01-13,87.11927032470703,49.35832595825195,60.3846549987793,21.8535099029541,47.95436477661133
2016-01-14,87.1001968383789,49.10954284667969,60.300148010253906,22.10074234008789,48.706329345703125
2016-01-15,87.1001968383789,49.28369140625,59.61559295654297,21.341386795043945,47.68783950805664
2016-01-19,87.11927032470703,49.126121520996094,59.793087005615234,21.535640716552734,47.68783950805664
2016-01-20,87.11927032470703,49.10954284667969,58.20420455932617,21.085325241088867,47.33565902709961
2016-01-21,87.13835144042969,49.092960357666016,58.59298324584961,20.94405174255371,47.5736198425293
2016-01-22,87.1001968383789,49.10954284667969,60.21563720703125,21.62394142150879,48.715850830078125
2016-01-25,87.11927032470703,49.242225646972656,59.62404251098633,21.500322341918945,48.02099609375
2016-01-26,87.1001968383789,49.408077239990234,60.90019226074219,21.6151065826416,48.55403518676758
2016-01-27,87.11927032470703,49.28369140625,59.953651428222656,21.588623046875,47.68783950805664
2016-01-28,87.11927032470703,49.291988372802734,59.55642318725586,21.8535099029541,47.9638786315918
2016-01-29,87.13835144042969,49.557342529296875,60.8494873046875,22.683500289916992,49.04899215698242
2016-02-01,87.1001968383789,49.40924072265625,60.85793685913086,22.551055908203125,49.1536979675293
2016-02-02,87.1001968383789,49.96674346923828,60.21563720703125,21.994787216186523,48.239933013916016
2016-02-03,87.11927032470703,49.916812896728516,60.51143264770508,22.0919132232666,48.37317657470703
2016-02-04,87.13835144042969,49.6422233581543,60.57904815673828,22.462764739990234,48.4017333984375
2016-02-05,87.13835144042969,49.916812896728516,59.2183723449707,22.3568058013916,46.96443557739258
2016-02-08,87.11927032470703,50.507591247558594,57.4774169921875,22.08308219909668,46.069698333740234
2016-02-09,87.13835144042969,50.44102096557617,56.54777526855469,21.871171951293945,46.069698333740234
2016-02-10,87.11927032470703,50.45766830444336,56.843570709228516,21.897663116455078,46.241031646728516
2016-02-11,87.13835144042969,50.4493522644043,56.00687789916992,21.517982482910156,45.86029052734375
2016-02-12,87.11927032470703,50.09987258911133,56.73369216918945,21.738731384277344,46.650325775146484
2016-02-16,87.11927032470703,49.88352584838867,57.82391357421875,22.259681701660156,47.56410217285156
2016-02-17,87.11927032470703,49.625579833984375,58.347896575927734,22.612865447998047,48.48740005493164
2016-02-18,87.13835144042969,50.01664733886719,58.905677795410156,22.665843963623047,48.08762741088867
2016-02-19,87.13835144042969,50.507591247558594,59.03245544433594,22.59520721435547,48.23040771484375
2016-02-22,87.13835144042969,50.4493522644043,59.71701431274414,22.974882125854492,48.95381164550781
2016-02-23,87.11927032470703,50.59080505371094,59.573341369628906,22.657012939453125,48.37317657470703
2016-02-24,87.13835144042969,50.66570281982422,59.59868240356445,22.54222869873047,48.668251037597656
2016-02-25,87.11927032470703,50.89866638183594,60.68046951293945,22.5157413482666,49.22985076904297
2016-02-26,87.11927032470703,50.66570281982422,60.4945182800293,22.45393180847168,49.20128631591797
2016-02-29,87.13835144042969,50.77385330200195,60.39310836791992,22.489248275756836,48.83006286621094
2016-03-01,87.13835144042969,50.128910064697266,61.96506118774414,23.24860382080078,50.13410949707031
2016-03-02,87.11927032470703,50.41273498535156,62.43832778930664,23.575298309326172,50.153141021728516
2016-03-03,87.13835144042969,50.59638214111328,62.75102615356445,23.875511169433594,50.28640365600586
2016-03-04,87.13835144042969,50.52125930786133,62.92006301879883,24.237529754638672,50.4101448059082
2016-03-07,87.13835144042969,50.53795623779297,63.03837203979492,24.352319717407227,50.30543899536133
2016-03-08,87.11927032470703,50.88021469116211,62.38762664794922,24.06976890563965,49.74384689331055
2016-03-09,87.13835144042969,50.780033111572266,62.64116668701172,24.14923095703125,49.972286224365234
2016-03-10,87.13835144042969,50.704898834228516,62.48058319091797,24.12274169921875,49.9818115234375
2016-03-11,87.11927032470703,50.71326446533203,63.959564208984375,24.537738800048828,50.89559555053711
2016-03-14,87.11927032470703,50.83846664428711,63.87505340576172,24.50766944885254,50.91462707519531
2016-03-15,87.11927032470703,50.871856689453125,63.8581428527832,24.06545639038086,50.82896041870117
2016-03-16,87.13835144042969,51.088905334472656,64.66947937011719,24.321935653686523,51.18115234375
2016-03-17,87.11927032470703,51.38108825683594,65.57376861572266,24.94988441467285,51.428619384765625
2016-03-18,87.11927032470703,51.74839401245117,65.32022094726562,25.250591278076172,51.65483474731445
2016-03-21,87.13835144042969,51.631507873535156,64.89765930175781,25.330190658569336,51.750282287597656
2016-03-22,87.13835144042969,51.51464080810547,64.91458129882812,25.285972595214844,51.77891159057617
2016-03-23,87.11927032470703,51.89029312133789,64.45703887939453,24.93219757080078,51.435302734375
2016-03-24,87.13835144042969,51.87361145019531,64.50835418701172,24.817218780517578,51.45439529418945
2016-03-28,87.13835144042969,51.97377014160156,65.0043716430664,24.834911346435547,51.483028411865234
2016-03-29,87.13835144042969,52.374473571777344,66.29571533203125,24.976421356201172,52.12251663208008
