Date,BIL,CBFSX,GVI,HYG,ILTB,IYR,JKD,MDY,MUB,VIGRX,VISVX
2019-12-12,91.11181640625,10.032184600830078,110.45184326171875,83.2154769897461,66.081298828125,87.65100860595703,178.46861267089844,366.34393310546875,111.54064178466797,90.73094177246094,31.997344970703125
2019-12-13,91.09190368652344,10.100561141967773,110.78536224365234,83.30107116699219,66.7286605834961,87.73816680908203,178.54727172851562,364.3539123535156,111.68739318847656,91.06824493408203,31.801279067993164
2019-12-16,91.11181640625,10.071256637573242,110.5793685913086,83.46269226074219,66.40018463134766,88.30147552490234,179.6348114013672,366.5705261230469,111.55043029785156,91.7824935913086,32.01694869995117
2019-12-17,91.10186004638672,10.071256637573242,110.5989990234375,83.71942138671875,66.38084411621094,87.5484390258789,179.80271911621094,367.8414001464844,111.6286849975586,91.71304321289062,32.173797607421875
2019-12-18,91.12177276611328,10.051718711853027,110.51069641113281,83.87154388427734,66.129638671875,88.68289184570312,179.41748046875,368.0088806152344,111.58956909179688,91.76265716552734,32.262027740478516
2019-12-19,91.1317367553711,10.071256637573242,110.61882019042969,83.8276596069336,66.20421600341797,89.41637420654297,180.039794921875,369.6245422363281,111.62583923339844,92.39755249023438,32.330650329589844
2019-12-20,91.13672637939453,10.071256637573242,110.55001831054688,83.70362854003906,66.22358703613281,89.97381591796875,181.22509765625,371.4234924316406,111.53760528564453,92.82413482666016,32.467891693115234
2019-12-23,91.13672637939453,10.071256637573242,110.55985260009766,83.74177551269531,66.13640594482422,89.46527099609375,181.38314819335938,371.1070556640625,111.54742431640625,92.9434585571289,32.42148971557617
2019-12-24,91.14669036865234,10.090792655944824,110.59916687011719,83.80857849121094,66.2526626586914,89.70977020263672,181.53131103515625,371.1268310546875,111.68466186523438,92.9931869506836,32.43136215209961
2019-12-26,91.15666961669922,10.100561141967773,110.71709442138672,83.93262481689453,66.42706298828125,90.18898010253906,182.3116455078125,371.94769287109375,111.72384643554688,93.73905181884766,32.46097946166992
2019-12-27,91.14669036865234,10.115248680114746,110.86454772949219,83.89444732666016,66.60145568847656,90.4334716796875,182.55857849121094,371.2257080078125,111.73367309570312,93.73905181884766,32.372127532958984
2019-12-30,91.15666961669922,10.105454444885254,110.90386962890625,83.83720397949219,66.50457763671875,90.50192260742188,181.88690185546875,370.8795471191406,111.75326538085938,93.08268737792969,32.35238265991211
2019-12-31,91.15666961669922,10.076080322265625,110.73677825927734,83.91353607177734,65.98136901855469,91.030029296875,182.2227325439453,371.2455139160156,111.66505432128906,93.35120391845703,32.44123840332031
2020-01-02,91.18656158447266,10.115248680114746,110.95301055908203,84.26660919189453,66.45613861083984,90.02272033691406,184.1389923095703,371.7894287109375,111.7630844116211,94.57440185546875,32.391876220703125
2020-01-03,91.18656158447266,10.164210319519043,111.19874572753906,84.18071746826172,66.9599609375,90.66818237304688,183.11175537109375,369.85101318359375,112.16498565673828,94.01749420166016,32.28327560424805
2020-01-06,91.17658996582031,10.134831428527832,111.10044860839844,84.0948486328125,66.63053131103516,90.74642181396484,183.64511108398438,369.84112548828125,112.2728271484375,94.59429168701172,32.25365447998047
2020-01-07,91.17658996582031,10.105454444885254,111.1201171875,84.01850891113281,66.48519897460938,89.8271255493164,183.2104949951172,368.8224792480469,112.33163452148438,94.52467346191406,32.14506149291992
2020-01-08,91.19654846191406,10.085871696472168,111.0218276977539,84.0948486328125,66.26234436035156,90.04227447509766,184.2970428466797,369.485107421875,112.35125732421875,95.25064086914062,32.19442367553711
2020-01-09,91.20651245117188,10.115248680114746,111.01200103759766,84.31431579589844,66.55303192138672,90.09117889404297,185.95648193359375,370.5531921386719,112.48849487304688,96.12577819824219,32.21416473388672
2020-01-10,91.20651245117188,10.154417037963867,111.10044860839844,84.34292602539062,66.95026397705078,90.87355041503906,185.31443786621094,369.4158935546875,112.498291015625,95.93683624267578,32.0956916809082
2020-01-13,91.20651245117188,10.134831428527832,111.0414810180664,84.34292602539062,66.73711395263672,91.84175872802734,186.66766357421875,372.2839050292969,112.45909118652344,96.92135620117188,32.372127532958984
2020-01-14,91.20651245117188,10.154417037963867,111.1201171875,84.33341217041016,66.90182495117188,91.48968505859375,186.44049072265625,373.3619079589844,112.59632873535156,96.53350830078125,32.46097946166992
2020-01-15,91.21648406982422,10.17400074005127,111.21841430664062,84.35247039794922,67.30875396728516,92.30139923095703,186.85536193847656,373.8663024902344,112.71395874023438,96.7821273803711,32.52021789550781
2020-01-16,91.23641967773438,10.17400074005127,111.23805236816406,84.381103515625,67.29905700683594,92.98599243164062,188.50491333007812,378.0299072265625,112.78257751464844,97.74676513671875,32.8953742980957
2020-01-17,91.22644805908203,10.17400074005127,111.20858001708984,84.31431579589844,67.14403533935547,93.09356689453125,189.25563049316406,377.2486572265625,112.6551284790039,98.2937240600586,32.83613586425781
2020-01-21,91.23641967773438,10.213171005249023,111.42481994628906,84.13300323486328,67.55097198486328,94.04220581054688,188.46542358398438,375.1618957519531,112.8119888305664,98.2937240600586,32.57944869995117
