Date,JKD,MDY,VIGRX,VISVX,^RUT
2007-12-19,61.09710693359375,130.34483337402344,28.352806091308594,11.882994651794434,756.1300048828125
2007-12-20,61.29410934448242,132.30465698242188,28.612768173217773,12.006616592407227,767.5399780273438
2007-12-21,62.32462692260742,133.75924682617188,29.089359283447266,12.238402366638184,785.5999755859375
2007-12-24,62.65806198120117,135.05543518066406,29.323320388793945,12.392930030822754,794.3900146484375
2007-12-26,62.55195617675781,134.97071838378906,29.37531280517578,12.354297637939453,797.030029296875
2007-12-27,61.804840087890625,132.8528289794922,28.968040466308594,12.060699462890625,773.510009765625
2007-12-28,61.9190559387207,132.59014892578125,29.011363983154297,12.02206802368164,771.760009765625
2007-12-31,61.279300689697266,131.39566040039062,28.79473114013672,11.967986106872559,766.030029296875
2008-01-02,60.45675277709961,130.50616455078125,28.387462615966797,11.782556533813477,753.5499877929688
2008-01-03,60.57100296020508,129.54884338378906,28.42212677001953,11.604852676391602,745.010009765625
2008-01-04,59.33720016479492,125.93140411376953,27.57293128967285,11.264896392822266,721.5999755859375
2008-01-07,59.47426986694336,125.16053009033203,27.538267135620117,11.326705932617188,723.9500122070312
2008-01-08,58.90305709838867,122.23777770996094,27.044347763061523,11.025381088256836,704.8599853515625
2008-01-09,59.55804443359375,122.92399597167969,27.399620056152344,11.118096351623535,712.1199951171875
2008-01-10,60.20542907714844,123.85586547851562,27.59026336669922,11.218534469604492,720.2100219726562
2008-01-11,59.28388214111328,122.44111633300781,27.113672256469727,11.017653465270996,704.6500244140625
2008-01-14,59.679927825927734,123.6102066040039,27.486276626586914,11.102641105651855,712.47998046875
2008-01-15,58.45372009277344,120.80607604980469,26.793054580688477,10.870855331420898,697.4299926757812
2008-01-16,58.248104095458984,120.28083038330078,26.515764236450195,10.948116302490234,699.9099731445312
2008-01-17,56.67915725708008,116.7989730834961,25.857200622558594,10.662248611450195,680.5700073242188
2008-01-18,56.38974380493164,115.80777740478516,25.822547912597656,10.546351432800293,673.1799926757812
2008-01-22,55.88709259033203,115.53669738769531,25.441265106201172,10.58498477935791,671.5700073242188
2008-01-23,56.73248291015625,118.56953430175781,25.744558334350586,11.033106803894043,693.4299926757812
2008-01-24,57.067588806152344,119.50141906738281,26.14315414428711,11.002202033996582,692.719970703125
2008-01-25,56.15365982055664,118.57804870605469,25.787879943847656,10.940390586853027,688.5999755859375
2008-01-28,56.991424560546875,121.56004333496094,26.12582778930664,11.210810661315918,702.3900146484375
2008-01-29,57.098060607910156,122.33940887451172,26.212482452392578,11.326705932617188,705.2000122070312
2008-01-30,56.762939453125,120.48413848876953,26.09116554260254,11.203083038330078,695.489990234375
2008-01-31,57.60834884643555,123.50858306884766,26.507104873657227,11.535311698913574,713.2999877929688
2008-02-01,58.49180221557617,126.7955322265625,26.871042251586914,11.79800796508789,730.5
2008-02-04,58.179542541503906,125.42318725585938,26.611083984375,11.682111740112305,723.4600219726562
2008-02-05,56.59537887573242,122.6274642944336,25.848541259765625,11.38078784942627,701.5800170898438
2008-02-06,56.313602447509766,121.20421600341797,25.59724998474121,11.280348777770996,692.489990234375
2008-02-07,56.36689758300781,122.5342788696289,25.787879943847656,11.458049774169922,702.780029296875
2008-02-08,56.2374382019043,122.11067962646484,25.86586570739746,11.365335464477539,698.9000244140625
2008-02-11,56.663944244384766,122.83927917480469,26.169158935546875,11.357609748840332,699.75
2008-02-12,57.090431213378906,123.3730239868164,26.25580596923828,11.442598342895508,705.47998046875
2008-02-13,57.95868682861328,124.55055236816406,26.689071655273438,11.628028869628906,721.9299926757812
2008-02-14,57.18944549560547,122.5851058959961,26.33379554748535,11.40396785736084,705.3200073242188
2008-02-15,57.090431213378906,122.4665298461914,26.290475845336914,11.373062133789062,701.52001953125
2008-02-19,57.120906829833984,123.28826141357422,26.290475845336914,11.373062133789062,702.3400268554688
2008-02-20,57.49408721923828,124.38961791992188,26.5677547454834,11.535311698913574,710.02001953125
2008-02-21,56.90003204345703,122.96633911132812,26.238479614257812,11.342161178588867,696.280029296875
2008-02-22,57.417938232421875,123.22048950195312,26.38578987121582,11.38078784942627,695.4299926757812
2008-02-25,58.293800354003906,126.16864013671875,26.75839614868164,11.635753631591797,710.4600219726562
2008-02-26,58.606040954589844,126.98190307617188,26.98369598388672,11.720743179321289,717.3200073242188
2008-02-27,58.415653228759766,126.50756072998047,26.95769691467285,11.682111740112305,716.4400024414062
2008-02-28,57.8748893737793,125.06730651855469,26.819047927856445,11.488956451416016,705.719970703125
2008-02-29,56.572540283203125,122.20391845703125,26.13448715209961,11.1721773147583,686.1799926757812
2008-03-03,56.641117095947266,121.61087036132812,26.15182113647461,11.1721773147583,684.219970703125
2008-03-04,56.80104064941406,120.89083099365234,26.09116554260254,11.118096351623535,680.97998046875
2008-03-05,56.93811798095703,121.82264709472656,26.316471099853516,11.141276359558105,683.739990234375
2008-03-06,55.97848129272461,118.47640228271484,25.805217742919922,10.801316261291504,662.780029296875
2008-03-07,55.51390075683594,117.24797058105469,25.545259475708008,10.79359245300293,660.1099853515625
2008-03-10,54.75990295410156,115.33335876464844,25.094654083251953,10.60043716430664,643.969970703125
2008-03-11,56.2374382019043,118.98465728759766,25.857200622558594,11.05661678314209,673.8099975585938
2008-03-12,56.22219467163086,118.26456451416016,25.70122718811035,10.92517375946045,667.3099975585938
2008-03-13,56.32120132446289,119.50141906738281,25.891862869262695,11.095273971557617,679.7100219726562
2008-03-14,55.48343276977539,117.75630950927734,25.397939682006836,10.8555908203125,662.9000244140625
