Date,BIL,VGTSX
2007-12-19,85.86296844482422,13.663172721862793
2007-12-20,85.90037536621094,13.697640419006348
2007-12-21,85.90037536621094,13.945806503295898
2007-12-24,85.90037536621094,14.04232406616211
2007-12-26,85.86296844482422,14.111259460449219
2007-12-27,85.90037536621094,14.049010276794434
2007-12-28,85.89849853515625,14.140973091125488
2007-12-31,85.87977600097656,14.070228576660156
2008-01-02,85.95477294921875,13.992414474487305
2008-01-03,85.89849853515625,13.999491691589355
2008-01-04,85.87977600097656,13.674084663391113
2008-01-07,85.95477294921875,13.674084663391113
2008-01-08,85.89849853515625,13.603342056274414
2008-01-09,85.84223175048828,13.794346809387207
2008-01-10,85.87977600097656,13.766045570373535
2008-01-11,85.91727447509766,13.525529861450195
2008-01-14,85.99227905273438,13.695310592651367
2008-01-15,85.9735107421875,13.249640464782715
2008-01-16,85.9735107421875,12.959606170654297
2008-01-17,85.93602752685547,12.747391700744629
2008-01-18,85.99227905273438,12.803979873657227
2008-01-22,86.02978515625,12.30172348022461
2008-01-23,86.1235580444336,12.252208709716797
2008-01-24,86.16109466552734,12.648348808288574
2008-01-25,86.06729125976562,12.59175968170166
2008-01-28,86.10479736328125,12.697870254516602
2008-01-29,86.17984008789062,12.796906471252441
2008-01-30,86.21735382080078,12.70494556427002
2008-01-31,86.21735382080078,12.867645263671875
2008-02-01,86.20794677734375,13.058645248413086
2008-02-04,86.22676086425781,13.030345916748047
2008-02-05,86.17036437988281,12.499797821044922
2008-02-06,86.24554443359375,12.429056167602539
2008-02-07,86.22676086425781,12.358312606811523
2008-02-08,86.22676086425781,12.287575721740723
2008-02-11,86.24554443359375,12.30172348022461
2008-02-12,86.22676086425781,12.570540428161621
2008-02-13,86.24554443359375,12.655428886413574
2008-02-14,86.26435852050781,12.662498474121094
2008-02-15,86.26435852050781,12.648348808288574
2008-02-19,86.26435852050781,12.825201988220215
2008-02-20,86.22676086425781,12.7686128616333
2008-02-21,86.30193328857422,12.7615385055542
2008-02-22,86.30193328857422,12.888866424560547
2008-02-25,86.26435852050781,13.065716743469238
2008-02-26,86.32075500488281,13.277939796447754
2008-02-27,86.33954620361328,13.341606140136719
2008-02-28,86.33954620361328,13.235492706298828
2008-02-29,86.3583755493164,12.9100923538208
2008-03-03,86.3904037475586,12.881793022155762
2008-03-04,86.3904037475586,12.70494556427002
2008-03-05,86.37153625488281,12.874720573425293
2008-03-06,86.40923309326172,12.683722496032715
2008-03-07,86.40923309326172,12.556389808654785
2008-03-10,86.40923309326172,12.372464179992676
2008-03-11,86.40923309326172,12.818130493164062
2008-03-12,86.42807006835938,12.782760620117188
2008-03-13,86.40923309326172,12.796906471252441
2008-03-14,86.52225494384766,12.535167694091797
2008-03-17,86.50341033935547,12.209761619567871
2008-03-18,86.59761047363281,12.627131462097168
2008-03-19,86.61640930175781,12.174389839172363
2008-03-20,86.59761047363281,12.315872192382812
2008-03-24,86.52225494384766,12.513945579528809
2008-03-25,86.46574401855469,12.7615385055542
2008-03-26,86.52225494384766,12.789833068847656
2008-03-27,86.54105377197266,12.782760620117188
2008-03-28,86.46574401855469,12.7686128616333
2008-03-31,86.55992889404297,12.818130493164062
2008-04-01,86.50332641601562,13.171831130981445
2008-04-02,86.50332641601562,13.207197189331055
2008-04-03,86.50332641601562,13.249640464782715
2008-04-04,86.54102325439453,13.306235313415527
2008-04-07,86.50332641601562,13.37697696685791
2008-04-08,86.55992889404297,13.306235313415527
2008-04-09,86.55992889404297,13.21427059173584
2008-04-10,86.55992889404297,13.193052291870117
2008-04-11,86.55992889404297,13.044496536254883
2008-04-14,86.59767150878906,13.016201972961426
2008-04-15,86.59767150878906,13.129384994506836
2008-04-16,86.54102325439453,13.490159034729004
2008-04-17,86.54102325439453,13.36989974975586
2008-04-18,86.4844741821289,13.518458366394043
2008-04-21,86.52220916748047,13.567974090576172
2008-04-22,86.54102325439453,13.490159034729004
2008-04-23,86.54102325439453,13.546753883361816
2008-04-24,86.55992889404297,13.468940734863281
2008-04-25,86.55992889404297,13.610417366027832
2008-04-28,86.50332641601562,13.631638526916504
2008-04-29,86.59767150878906,13.497232437133789
2008-04-30,86.50332641601562,13.567974090576172
2008-05-01,86.56754302978516,13.667010307312012
2008-05-02,86.51087188720703,13.758975982666016
2008-05-05,86.52979278564453,13.780193328857422
2008-05-06,86.49200439453125,13.850939750671387
2008-05-07,86.54864501953125,13.596269607543945
2008-05-08,86.51087188720703,13.709454536437988
2008-05-09,86.54864501953125,13.617493629455566
2008-05-12,86.54864501953125,13.751899719238281
2008-05-13,86.51087188720703,13.716526985168457
2008-05-14,86.51087188720703,13.730676651000977
2008-05-15,86.51087188720703,13.964116096496582
2008-05-16,86.52979278564453,14.098523139953613
2008-05-19,86.52979278564453,14.084376335144043
2008-05-20,86.49200439453125,13.949969291687012
2008-05-21,86.49200439453125,13.794346809387207
2008-05-22,86.54864501953125,13.9075288772583
2008-05-23,86.54864501953125,13.737748146057129
2008-05-27,86.54864501953125,13.695310592651367
2008-05-28,86.5864486694336,13.730676651000977
2008-05-29,86.54864501953125,13.681154251098633
2008-05-30,86.5864486694336,13.77312183380127
2008-06-02,86.65641021728516,13.667010307312012
2008-06-03,86.65641021728516,13.575047492980957
2008-06-04,86.63748931884766,13.490159034729004
2008-06-05,86.58075714111328,13.70238208770752
2008-06-06,86.59967041015625,13.341606140136719
2008-06-09,86.63748931884766,13.32038402557373
2008-06-10,86.69422912597656,13.072793960571289
2008-06-11,86.75093841552734,12.888866424560547
2008-06-12,86.69422912597656,12.860572814941406
