Date,BIL,BNDX,IYR,JEDAX,VIGRX,VISVX
2016-01-04,87.13835144042969,47.30316162109375,62.83554458618164,6.200311183929443,51.21922302246094,21.366973876953125
2016-01-05,87.13835144042969,47.27635955810547,63.866615295410156,6.2164998054504395,51.24776840209961,21.39443016052246
2016-01-06,87.1001968383789,47.45491027832031,63.655303955078125,6.208406448364258,50.657623291015625,21.083171844482422
2016-01-07,87.11927032470703,47.38349151611328,62.23549270629883,6.192215919494629,49.40118408203125,20.533893585205078
2016-01-08,87.11927032470703,47.37457275390625,61.500247955322266,6.192215919494629,48.91573715209961,20.250097274780273
2016-01-11,87.11927032470703,47.32099914550781,61.74531936645508,6.176028251647949,48.97284698486328,20.213476181030273
2016-01-12,87.13835144042969,47.38349151611328,61.31429672241211,6.159841060638428,49.42973327636719,20.222637176513672
2016-01-13,87.11927032470703,47.49060821533203,60.3846549987793,6.143651485443115,47.95436477661133,19.664199829101562
2016-01-14,87.1001968383789,47.338871002197266,60.300148010253906,6.127460956573486,48.706329345703125,19.911375045776367
2016-01-15,87.1001968383789,47.40134048461914,59.61559295654297,6.086989402770996,47.68783950805664,19.58181381225586
2016-01-19,87.11927032470703,47.25851058959961,59.793087005615234,6.0950846672058105,47.68783950805664,19.398712158203125
2016-01-20,87.11927032470703,47.40134048461914,58.20420455932617,6.062706470489502,47.33565902709961,19.30716896057129
2016-01-21,87.13835144042969,47.44597244262695,58.59298324584961,6.07080078125,47.5736198425293,19.316322326660156
2016-01-22,87.1001968383789,47.34779739379883,60.21563720703125,6.119366645812988,48.715850830078125,19.755746841430664
2016-01-25,87.11927032470703,47.463836669921875,59.62404251098633,6.11127233505249,48.02099609375,19.30716896057129
2016-01-26,87.1001968383789,47.42812728881836,60.90019226074219,6.119366645812988,48.55403518676758,19.79236602783203
2016-01-27,87.11927032470703,47.570960998535156,59.953651428222656,6.146158695220947,47.68783950805664,19.609275817871094
2016-01-28,87.11927032470703,47.66914749145508,59.55642318725586,6.170517444610596,47.9638786315918,19.664199829101562
2016-01-29,87.13835144042969,47.82090759277344,60.8494873046875,6.178638935089111,49.04899215698242,20.286714553833008
2016-02-01,87.1001968383789,47.81732177734375,60.85793685913086,6.170517444610596,49.1536979675293,20.268409729003906
2016-02-02,87.1001968383789,47.89775466918945,60.21563720703125,6.146158695220947,48.239933013916016,19.8381404876709
2016-02-03,87.11927032470703,47.96923065185547,60.51143264770508,6.1542792320251465,48.37317657470703,19.99376678466797
2016-02-04,87.13835144042969,47.96923065185547,60.57904815673828,6.162398815155029,48.4017333984375,20.149396896362305
2016-02-05,87.13835144042969,47.978172302246094,59.2183723449707,6.170517444610596,46.96443557739258,19.764896392822266
2016-02-08,87.11927032470703,48.06755828857422,57.4774169921875,6.1380414962768555,46.069698333740234,19.481107711791992
2016-02-09,87.13835144042969,48.094356536865234,56.54777526855469,6.121804237365723,46.069698333740234,19.380403518676758
2016-02-10,87.11927032470703,48.040748596191406,56.843570709228516,6.121804237365723,46.241031646728516,19.380403518676758
2016-02-11,87.13835144042969,48.112213134765625,56.00687789916992,6.105564594268799,45.86029052734375,19.10576629638672
2016-02-12,87.11927032470703,47.906681060791016,56.73369216918945,6.121804237365723,46.650325775146484,19.462797164916992
2016-02-16,87.11927032470703,47.93350601196289,57.82391357421875,6.1380414962768555,47.56410217285156,19.847293853759766
2016-02-17,87.11927032470703,47.96923065185547,58.347896575927734,6.178638935089111,48.48740005493164,20.131088256835938
2016-02-18,87.13835144042969,48.076473236083984,58.905677795410156,6.194875717163086,48.08762741088867,20.094470977783203
2016-02-19,87.13835144042969,48.12116241455078,59.03245544433594,6.194875717163086,48.23040771484375,20.07615852355957
2016-02-22,87.13835144042969,48.16584396362305,59.71701431274414,6.21923303604126,48.95381164550781,20.36910629272461
2016-02-23,87.11927032470703,48.174774169921875,59.573341369628906,6.21923303604126,48.37317657470703,20.167709350585938
2016-02-24,87.13835144042969,48.237342834472656,59.59868240356445,6.2111124992370605,48.668251037597656,20.332489013671875
2016-02-25,87.11927032470703,48.3177604675293,60.68046951293945,6.232294082641602,49.22985076904297,20.524744033813477
2016-02-26,87.11927032470703,48.3177604675293,60.4945182800293,6.248588562011719,49.20128631591797,20.634592056274414
2016-02-29,87.13835144042969,48.42498016357422,60.39310836791992,6.264882564544678,48.83006286621094,20.607128143310547
2016-03-01,87.13835144042969,48.41156768798828,61.96506118774414,6.289322853088379,50.13410949707031,20.991626739501953
2016-03-02,87.11927032470703,48.2684326171875,62.43832778930664,6.305614948272705,50.153141021728516,21.247955322265625
2016-03-03,87.13835144042969,48.29529571533203,62.75102615356445,6.321910381317139,50.28640365600586,21.52259063720703
2016-03-04,87.13835144042969,48.313167572021484,62.92006301879883,6.338205337524414,50.4101448059082,21.678226470947266
2016-03-07,87.13835144042969,48.33106231689453,63.03837203979492,6.338205337524414,50.30543899536133,21.86131477355957
2016-03-08,87.11927032470703,48.4563102722168,62.38762664794922,6.330057621002197,49.74384689331055,21.39443016052246
2016-03-09,87.13835144042969,48.33106231689453,62.64116668701172,6.346351146697998,49.972286224365234,21.51343536376953
2016-03-10,87.13835144042969,48.16109085083008,62.48058319091797,6.354497909545898,49.9818115234375,21.449359893798828
2016-03-11,87.11927032470703,48.32212829589844,63.959564208984375,6.370790004730225,50.89559555053711,21.870468139648438
2016-03-14,87.11927032470703,48.30422592163086,63.87505340576172,6.370790004730225,50.91462707519531,21.771263122558594
2016-03-15,87.11927032470703,48.30422592163086,63.8581428527832,6.346351146697998,50.82896041870117,21.578351974487305
