Date,JKD,VIGRX,^RUT
2007-12-19,61.09710693359375,28.39612579345703,756.1300048828125
2007-12-20,61.29410934448242,28.656484603881836,767.5399780273438
2007-12-21,62.32462692260742,29.133804321289062,785.5999755859375
2007-12-24,62.65806198120117,29.36812400817871,794.3900146484375
2007-12-26,62.55195617675781,29.42020606994629,797.030029296875
2007-12-27,61.804840087890625,29.012304306030273,773.510009765625
2007-12-28,61.9190559387207,29.055696487426758,771.760009765625
2007-12-31,61.279300689697266,28.838727951049805,766.030029296875
2008-01-02,60.45675277709961,28.430843353271484,753.5499877929688
2008-01-03,60.57100296020508,28.465553283691406,745.010009765625
2008-01-04,59.33720016479492,27.615068435668945,721.5999755859375
2008-01-07,59.47426986694336,27.580347061157227,723.9500122070312
2008-01-08,58.90305709838867,27.08567237854004,704.8599853515625
2008-01-09,59.55804443359375,27.441492080688477,712.1199951171875
2008-01-10,60.20542907714844,27.63241958618164,720.2100219726562
2008-01-11,59.28388214111328,27.155101776123047,704.6500244140625
2008-01-14,59.679927825927734,27.528274536132812,712.47998046875
2008-01-15,58.45372009277344,26.833993911743164,697.4299926757812
2008-01-16,58.248104095458984,26.5562801361084,699.9099731445312
2008-01-17,56.67915725708008,25.896711349487305,680.5700073242188
2008-01-18,56.38974380493164,25.862003326416016,673.1799926757812
2008-01-22,55.88709259033203,25.480144500732422,671.5700073242188
2008-01-23,56.73248291015625,25.78389549255371,693.4299926757812
2008-01-24,57.067588806152344,26.183107376098633,692.719970703125
2008-01-25,56.15365982055664,25.827285766601562,688.5999755859375
2008-01-28,56.991424560546875,26.165746688842773,702.3900146484375
2008-01-29,57.098060607910156,26.252532958984375,705.2000122070312
2008-01-30,56.762939453125,26.13103675842285,695.489990234375
2008-01-31,57.60834884643555,26.547603607177734,713.2999877929688
2008-02-01,58.49180221557617,26.912099838256836,730.5
2008-02-04,58.179542541503906,26.65174102783203,723.4600219726562
2008-02-05,56.59537887573242,25.888031005859375,701.5800170898438
2008-02-06,56.313602447509766,25.6363582611084,692.489990234375
2008-02-07,56.36689758300781,25.827285766601562,702.780029296875
2008-02-08,56.2374382019043,25.90538787841797,698.9000244140625
2008-02-11,56.663944244384766,26.20914077758789,699.75
2008-02-12,57.090431213378906,26.295921325683594,705.47998046875
2008-02-13,57.95868682861328,26.7298526763916,721.9299926757812
2008-02-14,57.18944549560547,26.37403106689453,705.3200073242188
2008-02-15,57.090431213378906,26.330646514892578,701.52001953125
2008-02-19,57.120906829833984,26.330646514892578,702.3400268554688
2008-02-20,57.49408721923828,26.608346939086914,710.02001953125
2008-02-21,56.90003204345703,26.278566360473633,696.280029296875
2008-02-22,57.417938232421875,26.426105499267578,695.4299926757812
2008-02-25,58.293800354003906,26.799283981323242,710.4600219726562
2008-02-26,58.606040954589844,27.024925231933594,717.3200073242188
2008-02-27,58.415653228759766,26.998886108398438,716.4400024414062
2008-02-28,57.8748893737793,26.86003303527832,705.719970703125
2008-02-29,56.572540283203125,26.17442512512207,686.1799926757812
2008-03-03,56.641117095947266,26.19178581237793,684.219970703125
2008-03-04,56.80104064941406,26.13103675842285,680.97998046875
2008-03-05,56.93811798095703,26.356678009033203,683.739990234375
2008-03-06,55.97848129272461,25.844646453857422,662.780029296875
2008-03-07,55.51390075683594,25.584287643432617,660.1099853515625
2008-03-10,54.75990295410156,25.13300132751465,643.969970703125
2008-03-11,56.2374382019043,25.896711349487305,673.8099975585938
2008-03-12,56.22219467163086,25.740495681762695,667.3099975585938
2008-03-13,56.32120132446289,25.931427001953125,679.7100219726562
2008-03-14,55.48343276977539,25.436750411987305,662.9000244140625
2008-03-17,55.20924377441406,25.063579559326172,650.47998046875
2008-03-18,57.067588806152344,26.02689552307129,681.9299926757812
2008-03-19,56.290733337402344,25.332611083984375,664.1300048828125
2008-03-20,57.349388122558594,25.75785255432129,681.4199829101562
2008-03-24,57.91297912597656,26.297016143798828,701.280029296875
2008-03-25,57.9581184387207,26.470935821533203,705.27001953125
2008-03-26,57.58328628540039,26.314407348632812,702.1099853515625
2008-03-27,57.208473205566406,25.975263595581055,692.3900146484375
2008-03-28,56.6654167175293,25.80133819580078,683.1799926757812
2008-03-31,56.9790153503418,25.95787239074707,687.969970703125
2008-04-01,58.53943634033203,26.78400230407715,710.6500244140625
2008-04-02,58.23347854614258,26.731821060180664,712.27001953125
2008-04-03,58.24879837036133,26.78400230407715,713.5700073242188
2008-04-04,58.3787956237793,26.905746459960938,713.72998046875
2008-04-07,58.41707229614258,26.905746459960938,712.6799926757812
2008-04-08,58.41707229614258,26.83617401123047,711.9199829101562
2008-04-09,57.88928985595703,26.644859313964844,698.3800048828125
2008-04-10,58.24879837036133,26.89704704284668,707.4199829101562
2008-04-11,56.86427688598633,26.3665828704834,688.1599731445312
2008-04-14,56.963687896728516,26.323104858398438,686.0700073242188
2008-04-15,57.017250061035156,26.40137481689453,692.0599975585938
2008-04-16,58.05754089355469,27.04488182067871,713.3900146484375
2008-04-17,57.98870849609375,27.00139617919922,708.0
2008-04-18,58.646541595458984,27.584035873413086,721.0700073242188
2008-04-21,58.501224517822266,27.679689407348633,718.0
2008-04-22,58.13404846191406,27.357940673828125,703.7100219726562
2008-04-23,58.08815383911133,27.52316665649414,708.1099853515625
2008-04-24,58.715389251708984,27.584035873413086,717.0700073242188
2008-04-25,58.73832702636719,27.72317123413086,721.8800048828125
2008-04-28,58.69244384765625,27.70578384399414,725.3699951171875
2008-04-29,58.48588943481445,27.610126495361328,718.9299926757812
2008-04-30,58.13404846191406,27.470989227294922,716.1799926757812
