Date,BIL,IYR,LDVIX,MUB,USCI,VEMAX,VIGRX,VTIAX
2016-01-06,87.1001968383789,63.655303955078125,8.487785339355469,99.18965148925781,39.4900016784668,23.11615562438965,50.657623291015625,20.465402603149414
2016-01-07,87.11927032470703,62.23549270629883,8.048084259033203,99.33251953125,39.369998931884766,22.3568058013916,49.40118408203125,20.071331024169922
2016-01-08,87.11927032470703,61.500247955322266,7.993122100830078,99.37715911865234,39.16999816894531,22.312658309936523,48.91573715209961,19.861162185668945
2016-01-11,87.11927032470703,61.74531936645508,8.055935859680176,99.2164306640625,38.70000076293945,21.977127075195312,48.97284698486328,19.791105270385742
2016-01-12,87.13835144042969,61.31429672241211,8.244379043579102,99.25216674804688,38.58000183105469,22.0654239654541,49.42973327636719,19.86991310119629
2016-01-13,87.11927032470703,60.3846549987793,7.773271083831787,99.29680633544922,38.709999084472656,21.8535099029541,47.95436477661133,19.668506622314453
2016-01-14,87.1001968383789,60.300148010253906,8.063788414001465,99.11820983886719,38.75,22.10074234008789,48.706329345703125,19.782346725463867
2016-01-15,87.1001968383789,59.61559295654297,7.616236209869385,99.42179870605469,38.459999084472656,21.341386795043945,47.68783950805664,19.178104400634766
2016-01-19,87.11927032470703,59.793087005615234,7.647642612457275,99.41289520263672,38.709999084472656,21.535640716552734,47.68783950805664,19.309459686279297
2016-01-20,87.11927032470703,58.20420455932617,7.702606201171875,99.56465911865234,38.59000015258789,21.085325241088867,47.33565902709961,18.854095458984375
2016-01-21,87.13835144042969,58.59298324584961,7.67119836807251,99.50218963623047,38.81999969482422,20.94405174255371,47.5736198425293,18.906633377075195
2016-01-22,87.1001968383789,60.21563720703125,8.048084259033203,99.37715911865234,39.20000076293945,21.62394142150879,48.715850830078125,19.493364334106445
2016-01-25,87.11927032470703,59.62404251098633,7.922455310821533,99.43071746826172,38.880001068115234,21.500322341918945,48.02099609375,19.309459686279297
2016-01-26,87.1001968383789,60.90019226074219,7.922455310821533,99.40393829345703,39.290000915527344,21.6151065826416,48.55403518676758,19.554658889770508
2016-01-27,87.11927032470703,59.953651428222656,7.5298662185668945,99.45752716064453,39.400001525878906,21.588623046875,47.68783950805664,19.519636154174805
2016-01-28,87.11927032470703,59.55642318725586,7.891048431396484,99.47535705566406,39.16999816894531,21.8535099029541,47.9638786315918,19.59844398498535
2016-01-29,87.13835144042969,60.8494873046875,8.189416885375977,99.60930633544922,39.43000030517578,22.683500289916992,49.04899215698242,20.027544021606445
2016-02-01,87.1001968383789,60.85793685913086,8.283638000488281,99.38026428222656,39.459999084472656,22.551055908203125,49.1536979675293,19.99251937866211
2016-02-02,87.1001968383789,60.21563720703125,8.095194816589355,99.63970947265625,39.33000183105469,21.994787216186523,48.239933013916016,19.589691162109375
2016-02-03,87.11927032470703,60.51143264770508,7.843937397003174,99.72919464111328,39.56999969482422,22.0919132232666,48.37317657470703,19.67725944519043
2016-02-04,87.13835144042969,60.57904815673828,7.788974761962891,99.8097152709961,39.43000030517578,22.462764739990234,48.4017333984375,19.799861907958984
2016-02-05,87.13835144042969,59.2183723449707,7.207943439483643,99.89025115966797,39.43000030517578,22.3568058013916,46.96443557739258,19.545902252197266
2016-02-08,87.11927032470703,57.4774169921875,7.0273518562316895,100.14971160888672,39.56999969482422,22.08308219909668,46.069698333740234,19.221887588500977
2016-02-09,87.13835144042969,56.54777526855469,6.9566850662231445,100.15864562988281,39.380001068115234,21.871171951293945,46.069698333740234,18.994203567504883
2016-02-10,87.11927032470703,56.843570709228516,7.074462413787842,100.18548583984375,39.38999938964844,21.897663116455078,46.241031646728516,19.01171875
2016-02-11,87.13835144042969,56.00687789916992,7.168684005737305,100.33758544921875,39.5099983215332,21.517982482910156,45.86029052734375,18.687705993652344
2016-02-12,87.11927032470703,56.73369216918945,7.22364616394043,100.0870590209961,39.59000015258789,21.738731384277344,46.650325775146484,18.932905197143555
2016-02-16,87.11927032470703,57.82391357421875,7.427792549133301,100.14075469970703,39.529998779296875,22.259681701660156,47.56410217285156,19.309459686279297
2016-02-17,87.11927032470703,58.347896575927734,7.74186372756958,100.0065689086914,39.65999984741211,22.612865447998047,48.48740005493164,19.67725944519043
2016-02-18,87.13835144042969,58.905677795410156,7.59268045425415,99.9975814819336,39.540000915527344,22.665843963623047,48.08762741088867,19.650989532470703
2016-02-19,87.13835144042969,59.03245544433594,7.647642612457275,99.92603302001953,39.380001068115234,22.59520721435547,48.23040771484375,19.59844398498535
2016-02-22,87.13835144042969,59.71701431274414,7.812530517578125,99.82762908935547,39.439998626708984,22.974882125854492,48.95381164550781,19.834888458251953
2016-02-23,87.11927032470703,59.573341369628906,7.600532531738281,99.8634033203125,39.439998626708984,22.657012939453125,48.37317657470703,19.537147521972656
2016-02-24,87.13835144042969,59.59868240356445,7.718308925628662,99.72919464111328,39.560001373291016,22.54222869873047,48.668251037597656,19.449575424194336
2016-02-25,87.11927032470703,60.68046951293945,7.836085319519043,99.80075073242188,39.4900016784668,22.5157413482666,49.22985076904297,19.659748077392578
2016-02-26,87.11927032470703,60.4945182800293,7.7968268394470215,99.63970947265625,39.470001220703125,22.45393180847168,49.20128631591797,19.615962982177734
2016-02-29,87.13835144042969,60.39310836791992,7.710456848144531,99.63081359863281,39.560001373291016,22.489248275756836,48.83006286621094,19.580930709838867
2016-03-01,87.13835144042969,61.96506118774414,8.071639060974121,99.44342041015625,39.470001220703125,23.24860382080078,50.13410949707031,20.06256866455078
