Date,BIL,CBFSX,HYG,ILTB,IYR,JEDAX,JKD,MDY,VEMAX,VIGRX,VISVX,^RUT
2019-12-05,91.08193969726562,10.051718711853027,82.54041290283203,66.43880462646484,89.8880386352539,7.710543632507324,174.80194091796875,360.1866149902344,34.26083755493164,89.58019256591797,31.3503360748291,1614.8299560546875
2019-12-06,91.08193969726562,10.041949272155762,82.65450286865234,66.17792510986328,90.0429916381836,7.729769229888916,176.7679901123047,363.7332763671875,34.474788665771484,90.42341613769531,31.69344711303711,1633.8399658203125
2019-12-09,91.09190368652344,10.061487197875977,82.65450286865234,66.29387664794922,90.22698211669922,7.748997688293457,176.23715209960938,362.0585021972656,34.387264251708984,90.10597229003906,31.63463020324707,1629.6199951171875
2019-12-10,91.09190368652344,10.051718711853027,82.85418701171875,66.36151885986328,89.6846694946289,7.758613109588623,175.9717254638672,361.8515930175781,34.37753677368164,89.95716857910156,31.615020751953125,1631.7099609375
2019-12-11,91.09190368652344,10.090792655944824,83.02532196044922,66.76731872558594,88.81310272216797,7.7778425216674805,176.6991729736328,362.44268798828125,34.75681686401367,90.27461242675781,31.654233932495117,1631.9300537109375
2019-12-12,91.11181640625,10.032184600830078,83.2154769897461,66.081298828125,87.65100860595703,7.80668306350708,178.46861267089844,366.34393310546875,35.174983978271484,90.73094177246094,31.997344970703125,1644.81005859375
2019-12-13,91.09190368652344,10.100561141967773,83.30107116699219,66.7286605834961,87.73816680908203,7.8259124755859375,178.54727172851562,364.3539123535156,35.35976028442383,91.06824493408203,31.801279067993164,1637.97998046875
2019-12-16,91.11181640625,10.071256637573242,83.46269226074219,66.40018463134766,88.30147552490234,7.835525989532471,179.6348114013672,366.5705261230469,35.544532775878906,91.7824935913086,32.01694869995117,1649.93994140625
2019-12-17,91.10186004638672,10.071256637573242,83.71942138671875,66.38084411621094,87.5484390258789,7.864368438720703,179.80271911621094,367.8414001464844,35.89462661743164,91.71304321289062,32.173797607421875,1657.56005859375
2019-12-18,91.12177276611328,10.051718711853027,83.87154388427734,66.129638671875,88.68289184570312,7.873981952667236,179.41748046875,368.0088806152344,36.098846435546875,91.76265716552734,32.262027740478516,1661.72998046875
