Date,BIL,GSG,GVI,HYG,IYR,JKD,LQD,MDY,MUB,PIGLX,VEMAX,VGTSX,VIGRX,VISVX,VUSTX,^RUT
2016-01-21,87.13835144042969,12.529999732971191,100.12126159667969,59.87607955932617,58.17401885986328,98.3012466430664,96.49089813232422,213.66075134277344,99.3467025756836,7.634927749633789,20.94405174255371,11.337738990783691,47.5736198425293,19.316322326660156,10.800858497619629,997.3400268554688
2016-01-22,87.1001968383789,13.020000457763672,100.04890441894531,60.793827056884766,59.785064697265625,100.04724884033203,96.5504150390625,219.00645446777344,99.22187805175781,7.617514133453369,21.62394142150879,11.689024925231934,48.715850830078125,19.755746841430664,10.75823974609375,1020.6599731445312
2016-01-25,87.11927032470703,12.59000015258789,100.06694793701172,60.192264556884766,59.19770050048828,98.68119049072266,96.44834899902344,214.46444702148438,99.27537536621094,7.626217365264893,21.500322341918945,11.574858665466309,48.02099609375,19.30716896057129,10.8093843460083,997.3699951171875
2016-01-26,87.1001968383789,12.869999885559082,100.19369506835938,60.73210144042969,60.4647216796875,100.34577941894531,96.72048950195312,219.2681121826172,99.24864959716797,7.643632411956787,21.6151065826416,11.72415542602539,48.55403518676758,19.79236602783203,10.817909240722656,1017.969970703125
2016-01-27,87.11927032470703,13.069999694824219,100.2027359008789,60.63957214355469,59.52495193481445,99.48634338378906,96.45687103271484,217.05319213867188,99.3021240234375,7.652337074279785,21.588623046875,11.706587791442871,47.68783950805664,19.609275817871094,10.817909240722656,1002.75
2016-01-28,87.11927032470703,13.380000114440918,100.16654968261719,60.94804763793945,59.13056564331055,99.45015716552734,96.56741333007812,217.1373291015625,99.31993103027344,7.669747829437256,21.8535099029541,11.750500679016113,47.9638786315918,19.664199829101562,10.834959030151367,1003.27001953125
2016-01-29,87.13835144042969,13.479999542236328,100.37469482421875,61.14854049682617,60.41437911987305,101.82942962646484,97.06915283203125,224.26806640625,99.45366668701172,7.668878078460693,22.683500289916992,12.01396369934082,49.04899215698242,20.286714553833008,10.935773849487305,1035.3800048828125
2016-02-01,87.1001968383789,13.079999923706055,100.19705963134766,60.78506088256836,60.422767639160156,102.2727279663086,96.7595443725586,223.931640625,99.22500610351562,7.6775898933410645,22.551055908203125,11.987618446350098,49.1536979675293,20.268409729003906,10.901598930358887,1032.3900146484375
2016-02-02,87.1001968383789,12.779999732971191,100.51425170898438,60.35105895996094,59.785064697265625,100.14674377441406,96.93864440917969,219.16529846191406,99.48403930664062,7.686306953430176,21.994787216186523,11.741720199584961,48.239933013916016,19.8381404876709,11.089557647705078,1008.8400268554688
2016-02-03,87.11927032470703,13.260000228881836,100.52332305908203,60.64556121826172,60.0787353515625,100.59908294677734,96.69985961914062,220.68865966796875,99.57341766357422,7.756023406982422,22.0919132232666,11.803194046020508,48.37317657470703,19.99376678466797,11.01266860961914,1010.2999877929688
