Date,BIL,LQD
2007-12-19,85.86296844482422,63.137027740478516
2007-12-20,85.90037536621094,62.831199645996094
2007-12-21,85.90037536621094,62.765174865722656
2007-12-24,85.90037536621094,62.447391510009766
2007-12-26,85.86296844482422,62.46537399291992
2007-12-27,85.90037536621094,62.83582305908203
2007-12-28,85.89849853515625,63.034671783447266
2007-12-31,85.87977600097656,63.15511703491211
2008-01-02,85.95477294921875,63.90205764770508
2008-01-03,85.89849853515625,63.69124221801758
2008-01-04,85.87977600097656,64.21534729003906
2008-01-07,85.95477294921875,64.13700103759766
2008-01-08,85.89849853515625,64.01651000976562
2008-01-09,85.84223175048828,63.88402557373047
2008-01-10,85.87977600097656,63.697261810302734
2008-01-11,85.91727447509766,64.16111755371094
2008-01-14,85.99227905273438,63.89607620239258
2008-01-15,85.9735107421875,64.23947143554688
2008-01-16,85.9735107421875,64.14303588867188
2008-01-17,85.93602752685547,64.4442138671875
2008-01-18,85.99227905273438,64.33585357666016
2008-01-22,86.02978515625,64.474365234375
2008-01-23,86.1235580444336,64.5587387084961
2008-01-24,86.16109466552734,64.010498046875
2008-01-25,86.06729125976562,64.70327758789062
2008-01-28,86.10479736328125,64.68521881103516
2008-01-29,86.17984008789062,64.5767822265625
2008-01-30,86.21735382080078,64.56472778320312
2008-01-31,86.21735382080078,64.77555084228516
2008-02-01,86.20794677734375,65.05030059814453
2008-02-04,86.22676086425781,64.87483215332031
2008-02-05,86.17036437988281,65.09872436523438
2008-02-06,86.24554443359375,64.7477798461914
2008-02-07,86.22676086425781,64.00334167480469
2008-02-08,86.22676086425781,64.24542236328125
2008-02-11,86.24554443359375,64.43909454345703
2008-02-12,86.22676086425781,64.34827423095703
2008-02-13,86.24554443359375,63.70082092285156
2008-02-14,86.26435852050781,63.56159210205078
2008-02-15,86.26435852050781,63.76734924316406
2008-02-19,86.26435852050781,63.13796615600586
2008-02-20,86.22676086425781,63.27716827392578
2008-02-21,86.30193328857422,63.712867736816406
2008-02-22,86.30193328857422,63.46474838256836
2008-02-25,86.26435852050781,63.059303283691406
2008-02-26,86.32075500488281,63.513145446777344
2008-02-27,86.33954620361328,63.452640533447266
2008-02-28,86.33954620361328,63.91261672973633
2008-02-29,86.3583755493164,64.31802368164062
2008-03-03,86.3904037475586,64.31684875488281
2008-03-04,86.3904037475586,63.940040588378906
2008-03-05,86.37153625488281,63.4903564453125
2008-03-06,86.40923309326172,63.405250549316406
2008-03-07,86.40923309326172,63.27156448364258
2008-03-10,86.40923309326172,63.259368896484375
2008-03-11,86.40923309326172,62.53616714477539
2008-03-12,86.42807006835938,63.28975296020508
2008-03-13,86.40923309326172,62.603004455566406
2008-03-14,86.52225494384766,62.56653594970703
2008-03-17,86.50341033935547,63.07709503173828
2008-03-18,86.59761047363281,62.96159744262695
2008-03-19,86.61640930175781,63.23503494262695
2008-03-20,86.59761047363281,63.56934356689453
2008-03-24,86.52225494384766,63.44780349731445
2008-03-25,86.46574401855469,63.733402252197266
2008-03-26,86.52225494384766,63.812408447265625
2008-03-27,86.54105377197266,63.42345428466797
2008-03-28,86.46574401855469,63.76377868652344
2008-03-31,86.55992889404297,63.93396759033203
2008-04-01,86.50332641601562,63.83195877075195
2008-04-02,86.50332641601562,63.94186782836914
2008-04-03,86.50332641601562,63.972476959228516
2008-04-04,86.54102325439453,64.74805450439453
2008-04-07,86.50332641601562,64.82133483886719
2008-04-08,86.55992889404297,64.58926391601562
2008-04-09,86.55992889404297,64.39993286132812
2008-04-10,86.55992889404297,64.46097564697266
2008-04-11,86.55992889404297,64.52208709716797
2008-04-14,86.59767150878906,64.12510681152344
2008-04-15,86.59767150878906,63.99079895019531
2008-04-16,86.54102325439453,63.62434387207031
2008-04-17,86.54102325439453,63.78925704956055
2008-04-18,86.4844741821289,64.07015228271484
2008-04-21,86.52220916748047,63.8625373840332
2008-04-22,86.54102325439453,63.72201919555664
2008-04-23,86.54102325439453,63.91749572753906
2008-04-24,86.55992889404297,63.83195877075195
2008-04-25,86.55992889404297,63.8625373840332
2008-04-28,86.50332641601562,64.16789245605469
2008-04-29,86.59767150878906,64.36943054199219
2008-04-30,86.50332641601562,64.72972106933594
2008-05-01,86.56754302978516,65.11188507080078
2008-05-02,86.51087188720703,64.73158264160156
2008-05-05,86.52979278564453,64.82357025146484
2008-05-06,86.49200439453125,64.40647888183594
2008-05-07,86.54864501953125,64.5782241821289
2008-05-08,86.51087188720703,64.86653137207031
2008-05-09,86.54864501953125,64.86653137207031
2008-05-12,86.54864501953125,64.80521392822266
2008-05-13,86.51087188720703,64.4371337890625
2008-05-14,86.51087188720703,64.47396087646484
2008-05-15,86.51087188720703,64.90333557128906
2008-05-16,86.52979278564453,64.81746673583984
2008-05-19,86.52979278564453,64.82971954345703
2008-05-20,86.49200439453125,64.854248046875
2008-05-21,86.49200439453125,64.57209014892578
2008-05-22,86.54864501953125,63.86058044433594
2008-05-23,86.54864501953125,64.15502166748047
2008-05-27,86.54864501953125,63.76852798461914
2008-05-28,86.5864486694336,63.3575439453125
2008-05-29,86.54864501953125,63.050846099853516
2008-05-30,86.5864486694336,63.30238342285156
2008-06-02,86.65641021728516,63.51987838745117
2008-06-03,86.65641021728516,63.76637268066406
2008-06-04,86.63748931884766,63.5692138671875
2008-06-05,86.58075714111328,63.23023223876953
2008-06-06,86.59967041015625,63.54457473754883
2008-06-09,86.63748931884766,63.489070892333984
2008-06-10,86.69422912597656,63.125511169433594
2008-06-11,86.75093841552734,63.100852966308594
2008-06-12,86.69422912597656,62.564754486083984
