Date,BIL,ILTB,VIGRX,VISVX,^RUT
2016-01-04,87.13835144042969,48.7529411315918,51.21922302246094,21.366973876953125,1108.6199951171875
2016-01-05,87.13835144042969,48.60369110107422,51.24776840209961,21.39443016052246,1110.43994140625
2016-01-06,87.1001968383789,49.11783218383789,50.657623291015625,21.083171844482422,1094.3699951171875
2016-01-07,87.11927032470703,49.126121520996094,49.40118408203125,20.533893585205078,1064.5699462890625
2016-01-08,87.11927032470703,49.258811950683594,48.91573715209961,20.250097274780273,1046.199951171875
2016-01-11,87.11927032470703,48.869056701660156,48.97284698486328,20.213476181030273,1041.9000244140625
2016-01-12,87.13835144042969,49.22562789916992,49.42973327636719,20.222637176513672,1044.699951171875
2016-01-13,87.11927032470703,49.35832595825195,47.95436477661133,19.664199829101562,1010.1900024414062
2016-01-14,87.1001968383789,49.10954284667969,48.706329345703125,19.911375045776367,1025.6700439453125
2016-01-15,87.1001968383789,49.28369140625,47.68783950805664,19.58181381225586,1007.719970703125
2016-01-19,87.11927032470703,49.126121520996094,47.68783950805664,19.398712158203125,994.8699951171875
2016-01-20,87.11927032470703,49.10954284667969,47.33565902709961,19.30716896057129,999.3099975585938
2016-01-21,87.13835144042969,49.092960357666016,47.5736198425293,19.316322326660156,997.3400268554688
2016-01-22,87.1001968383789,49.10954284667969,48.715850830078125,19.755746841430664,1020.6599731445312
2016-01-25,87.11927032470703,49.242225646972656,48.02099609375,19.30716896057129,997.3699951171875
2016-01-26,87.1001968383789,49.408077239990234,48.55403518676758,19.79236602783203,1017.969970703125
2016-01-27,87.11927032470703,49.28369140625,47.68783950805664,19.609275817871094,1002.75
2016-01-28,87.11927032470703,49.291988372802734,47.9638786315918,19.664199829101562,1003.27001953125
2016-01-29,87.13835144042969,49.557342529296875,49.04899215698242,20.286714553833008,1035.3800048828125
2016-02-01,87.1001968383789,49.40924072265625,49.1536979675293,20.268409729003906,1032.3900146484375
2016-02-02,87.1001968383789,49.96674346923828,48.239933013916016,19.8381404876709,1008.8400268554688
2016-02-03,87.11927032470703,49.916812896728516,48.37317657470703,19.99376678466797,1010.2999877929688
2016-02-04,87.13835144042969,49.6422233581543,48.4017333984375,20.149396896362305,1014.7899780273438
2016-02-05,87.13835144042969,49.916812896728516,46.96443557739258,19.764896392822266,985.6199951171875
2016-02-08,87.11927032470703,50.507591247558594,46.069698333740234,19.481107711791992,969.3400268554688
2016-02-09,87.13835144042969,50.44102096557617,46.069698333740234,19.380403518676758,963.9000244140625
2016-02-10,87.11927032470703,50.45766830444336,46.241031646728516,19.380403518676758,963.47998046875
2016-02-11,87.13835144042969,50.4493522644043,45.86029052734375,19.10576629638672,953.719970703125
2016-02-12,87.11927032470703,50.09987258911133,46.650325775146484,19.462797164916992,971.989990234375
2016-02-16,87.11927032470703,49.88352584838867,47.56410217285156,19.847293853759766,995.7999877929688
2016-02-17,87.11927032470703,49.625579833984375,48.48740005493164,20.131088256835938,1011.1300048828125
2016-02-18,87.13835144042969,50.01664733886719,48.08762741088867,20.094470977783203,1004.7100219726562
2016-02-19,87.13835144042969,50.507591247558594,48.23040771484375,20.07615852355957,1010.010009765625
2016-02-22,87.13835144042969,50.4493522644043,48.95381164550781,20.36910629272461,1021.739990234375
2016-02-23,87.11927032470703,50.59080505371094,48.37317657470703,20.167709350585938,1012.1500244140625
2016-02-24,87.13835144042969,50.66570281982422,48.668251037597656,20.332489013671875,1022.0800170898438
2016-02-25,87.11927032470703,50.89866638183594,49.22985076904297,20.524744033813477,1031.5799560546875
2016-02-26,87.11927032470703,50.66570281982422,49.20128631591797,20.634592056274414,1037.1800537109375
2016-02-29,87.13835144042969,50.77385330200195,48.83006286621094,20.607128143310547,1033.9000244140625
2016-03-01,87.13835144042969,50.128910064697266,50.13410949707031,20.991626739501953,1054.489990234375
2016-03-02,87.11927032470703,50.41273498535156,50.153141021728516,21.247955322265625,1065.6700439453125
2016-03-03,87.13835144042969,50.59638214111328,50.28640365600586,21.52259063720703,1076.050048828125
2016-03-04,87.13835144042969,50.52125930786133,50.4101448059082,21.678226470947266,1081.9300537109375
2016-03-07,87.13835144042969,50.53795623779297,50.30543899536133,21.86131477355957,1094.1500244140625
2016-03-08,87.11927032470703,50.88021469116211,49.74384689331055,21.39443016052246,1067.8800048828125
2016-03-09,87.13835144042969,50.780033111572266,49.972286224365234,21.51343536376953,1072.77001953125
2016-03-10,87.13835144042969,50.704898834228516,49.9818115234375,21.449359893798828,1063.989990234375
2016-03-11,87.11927032470703,50.71326446533203,50.89559555053711,21.870468139648438,1087.56005859375
2016-03-14,87.11927032470703,50.83846664428711,50.91462707519531,21.771263122558594,1084.25
2016-03-15,87.11927032470703,50.871856689453125,50.82896041870117,21.578351974487305,1066.6700439453125
2016-03-16,87.13835144042969,51.088905334472656,51.18115234375,21.798818588256836,1074.510009765625
2016-03-17,87.11927032470703,51.38108825683594,51.428619384765625,22.147897720336914,1091.25
2016-03-18,87.11927032470703,51.74839401245117,51.65483474731445,22.26731300354004,1101.6700439453125
2016-03-21,87.13835144042969,51.631507873535156,51.750282287597656,22.24894142150879,1098.5799560546875
2016-03-22,87.13835144042969,51.51464080810547,51.77891159057617,22.23975944519043,1097.3399658203125
2016-03-23,87.11927032470703,51.89029312133789,51.435302734375,21.890684127807617,1075.699951171875
2016-03-24,87.13835144042969,51.87361145019531,51.45439529418945,21.945796966552734,1079.5400390625
2016-03-28,87.13835144042969,51.97377014160156,51.483028411865234,21.973356246948242,1080.22998046875
