Date,BIL,HYG,IYR,JKD,VIGRX
2016-01-04,87.13835144042969,62.029666900634766,62.83554458618164,106.4986343383789,51.21922302246094
2016-01-05,87.13835144042969,62.14583969116211,63.866615295410156,106.99794006347656,51.24776840209961
2016-01-06,87.1001968383789,62.14583969116211,63.655303955078125,105.80867004394531,50.657623291015625
2016-01-07,87.11927032470703,61.74311447143555,62.23549270629883,102.88542938232422,49.40118408203125
2016-01-08,87.11927032470703,61.580509185791016,61.500247955322266,102.0411605834961,48.91573715209961
2016-01-11,87.11927032470703,61.48760223388672,61.74531936645508,102.16824340820312,48.97284698486328
2016-01-12,87.13835144042969,61.54954147338867,61.31429672241211,102.86727905273438,49.42973327636719
2016-01-13,87.11927032470703,60.86808776855469,60.3846549987793,100.21638488769531,47.95436477661133
2016-01-14,87.1001968383789,61.13909912109375,60.300148010253906,101.75064849853516,48.706329345703125
2016-01-15,87.1001968383789,60.33370590209961,59.61559295654297,99.42657470703125,47.68783950805664
2016-01-19,87.11927032470703,60.12464141845703,59.793087005615234,99.92588806152344,47.68783950805664
2016-01-20,87.11927032470703,59.72194290161133,58.20420455932617,98.56413269042969,47.33565902709961
2016-01-21,87.13835144042969,60.12464141845703,58.59298324584961,98.64583587646484,47.5736198425293
2016-01-22,87.1001968383789,61.046199798583984,60.21563720703125,100.3979721069336,48.715850830078125
2016-01-25,87.11927032470703,60.442138671875,59.62404251098633,99.02711486816406,48.02099609375
2016-01-26,87.1001968383789,60.98421859741211,60.90019226074219,100.69754791259766,48.55403518676758
2016-01-27,87.11927032470703,60.89131546020508,59.953651428222656,99.83509826660156,47.68783950805664
2016-01-28,87.11927032470703,61.20106506347656,59.55642318725586,99.79877471923828,47.9638786315918
2016-01-29,87.13835144042969,61.40238571166992,60.8494873046875,102.1864013671875,49.04899215698242
2016-02-01,87.1001968383789,61.037391662597656,60.85793685913086,102.63125610351562,49.1536979675293
2016-02-02,87.1001968383789,60.60158920288086,60.21563720703125,100.497802734375,48.239933013916016
2016-02-03,87.11927032470703,60.897308349609375,60.51143264770508,100.95174407958984,48.37317657470703
2016-02-04,87.13835144042969,60.7027702331543,60.57904815673828,101.29672241210938,48.4017333984375
2016-02-05,87.13835144042969,60.235843658447266,59.2183723449707,99.32669830322266,46.96443557739258
2016-02-08,87.11927032470703,59.53542709350586,57.4774169921875,98.21914672851562,46.069698333740234
2016-02-09,87.13835144042969,59.30971908569336,56.54777526855469,98.32808685302734,46.069698333740234
2016-02-10,87.11927032470703,59.224124908447266,56.843570709228516,98.30992889404297,46.241031646728516
2016-02-11,87.13835144042969,58.82719039916992,56.00687789916992,96.93001556396484,45.86029052734375
2016-02-12,87.11927032470703,59.70661163330078,56.73369216918945,98.67308044433594,46.650325775146484
2016-02-16,87.11927032470703,59.76106262207031,57.82391357421875,100.45243835449219,47.56410217285156
2016-02-17,87.11927032470703,60.251373291015625,58.347896575927734,101.77789306640625,48.48740005493164
2016-02-18,87.13835144042969,60.30585479736328,58.905677795410156,101.73247528076172,48.08762741088867
2016-02-19,87.13835144042969,60.42258834838867,59.03245544433594,101.65079498291016,48.23040771484375
2016-02-22,87.13835144042969,60.944007873535156,59.71701431274414,103.07608795166016,48.95381164550781
2016-02-23,87.11927032470703,60.81950378417969,59.573341369628906,101.9594497680664,48.37317657470703
2016-02-24,87.13835144042969,60.920684814453125,59.59868240356445,102.1773452758789,48.668251037597656
2016-02-25,87.11927032470703,61.24753189086914,60.68046951293945,103.29398345947266,49.22985076904297
2016-02-26,87.11927032470703,61.65999221801758,60.4945182800293,103.18502807617188,49.20128631591797
2016-02-29,87.13835144042969,62.32148742675781,60.39310836791992,102.6494140625,48.83006286621094
2016-03-01,87.13835144042969,63.30644989013672,61.96506118774414,104.8826904296875,50.13410949707031
2016-03-02,87.11927032470703,62.87620162963867,62.43832778930664,105.05517578125,50.153141021728516
2016-03-03,87.13835144042969,63.087406158447266,62.75102615356445,105.34568786621094,50.28640365600586
2016-03-04,87.13835144042969,63.26735305786133,62.92006301879883,105.62712860107422,50.4101448059082
2016-03-07,87.13835144042969,63.34559631347656,63.03837203979492,105.66343688964844,50.30543899536133
2016-03-08,87.11927032470703,62.89963150024414,62.38762664794922,104.55584716796875,49.74384689331055
2016-03-09,87.13835144042969,63.05608367919922,62.64116668701172,105.46369934082031,49.972286224365234
2016-03-10,87.13835144042969,63.49423599243164,62.48058319091797,105.23674774169922,49.9818115234375
2016-03-11,87.11927032470703,64.26089477539062,63.959564208984375,107.15228271484375,50.89559555053711
2016-03-14,87.11927032470703,64.08098602294922,63.87505340576172,106.8890151977539,50.91462707519531
2016-03-15,87.11927032470703,63.48641586303711,63.8581428527832,106.5531005859375,50.82896041870117
2016-03-16,87.13835144042969,63.908851623535156,64.66947937011719,107.3066177368164,51.18115234375
2016-03-17,87.11927032470703,64.3156509399414,65.57376861572266,107.7242431640625,51.428619384765625
2016-03-18,87.11927032470703,64.46431732177734,65.32022094726562,108.35063934326172,51.65483474731445
2016-03-21,87.13835144042969,64.3938980102539,64.89765930175781,108.45049285888672,51.750282287597656
2016-03-22,87.13835144042969,64.22178649902344,64.91458129882812,108.42327117919922,51.77891159057617
2016-03-23,87.11927032470703,63.924503326416016,64.45703887939453,107.73294830322266,51.435302734375
2016-03-24,87.13835144042969,63.64286804199219,64.50835418701172,107.41378021240234,51.45439529418945
2016-03-28,87.13835144042969,63.3533935546875,65.0043716430664,107.26786041259766,51.483028411865234
2016-03-29,87.13835144042969,63.59592819213867,66.29571533203125,108.27098083496094,52.12251663208008
