Date,BIL,ILTB,VISVX,^RUT
2018-03-20,88.04158782958984,54.79441452026367,30.073566436767578,1570.4100341796875
2018-03-21,88.06082916259766,54.71314239501953,30.203102111816406,1579.300048828125
2018-03-22,88.07044219970703,54.88471603393555,29.49827003479004,1543.8699951171875
2018-03-23,88.080078125,54.848602294921875,28.91726303100586,1510.0799560546875
2018-03-26,88.07044219970703,54.88471603393555,29.51732063293457,1543.719970703125
2018-03-27,88.08969116210938,55.32719039916992,29.11727523803711,1513.5699462890625
2018-03-28,88.09931182861328,55.42652130126953,29.23157501220703,1513.030029296875
2018-03-29,88.11857604980469,55.84191131591797,29.555419921875,1529.4300537109375
2018-04-02,88.11376190185547,55.83283996582031,28.898208618164062,1492.530029296875
2018-04-03,88.10411834716797,55.56106185913086,29.32682228088379,1512.1500244140625
2018-04-04,88.1233901977539,55.54294967651367,29.583995819091797,1531.6600341796875
2018-04-05,88.13301849365234,55.29833984375,29.841161727905273,1542.9300537109375
2018-04-06,88.13301849365234,55.81472396850586,29.279199600219727,1513.300048828125
2018-04-09,88.1426773071289,55.796600341796875,29.222055435180664,1514.4599609375
2018-04-10,88.13301849365234,55.796600341796875,29.69828987121582,1543.4300537109375
2018-04-11,88.15229034423828,55.94156265258789,29.69828987121582,1546.800048828125
2018-04-12,88.15229034423828,55.6788215637207,29.841161727905273,1557.3299560546875
2018-04-13,88.15229034423828,55.733184814453125,29.745912551879883,1549.510009765625
2018-04-16,88.17156982421875,55.733184814453125,30.041183471679688,1563.030029296875
2018-04-17,88.17156982421875,55.82378005981445,30.212631225585938,1579.800048828125
2018-04-18,88.16194152832031,55.51576614379883,30.307876586914062,1583.56005859375
2018-04-19,88.18121337890625,55.07185363769531,30.174531936645508,1573.8199462890625
2018-04-20,88.18121337890625,54.736656188964844,30.01260757446289,1564.1199951171875
2018-04-23,88.18121337890625,54.62794494628906,30.041183471679688,1562.1199951171875
2018-04-24,88.19084167480469,54.40146255493164,29.917360305786133,1553.280029296875
2018-04-25,88.20046997070312,53.99378204345703,29.94593620300293,1550.469970703125
2018-04-26,88.21013641357422,54.40146255493164,29.984033584594727,1557.8900146484375
2018-04-27,88.21975708007812,54.582645416259766,29.96498680114746,1556.239990234375
2018-04-30,88.21013641357422,54.60982894897461,29.660192489624023,1541.8800048828125
2018-05-01,88.21687316894531,54.40531921386719,29.69828987121582,1550.3299560546875
2018-05-02,88.22652435302734,54.341705322265625,29.688766479492188,1554.9100341796875
2018-05-03,88.22652435302734,54.341705322265625,29.583995819091797,1546.56005859375
2018-05-04,88.2458267211914,54.46895217895508,29.94593620300293,1565.5999755859375
2018-05-07,88.2458267211914,54.16902160644531,30.12690544128418,1578.949951171875
2018-05-08,88.25544738769531,54.22355270385742,30.222150802612305,1586.3900146484375
2018-05-09,88.25544738769531,53.97816467285156,30.412647247314453,1596.050048828125
2018-05-10,88.25544738769531,54.44168472290039,30.59362030029297,1603.7099609375
2018-05-11,88.25544738769531,54.72344970703125,30.6126708984375,1606.7900390625
2018-05-14,88.25544738769531,54.61437225341797,30.565044403076172,1600.3399658203125
2018-05-15,88.2747573852539,54.02360153198242,30.545995712280273,1600.3399658203125
2018-05-16,88.2844009399414,53.86909866333008,30.79364585876465,1616.3699951171875
2018-05-17,88.2844009399414,53.687313079833984,30.917465209960938,1625.2900390625
2018-05-18,88.29405212402344,53.75094223022461,30.888887405395508,1626.6300048828125
2018-05-21,88.29405212402344,53.89635467529297,31.184158325195312,1637.43994140625
2018-05-22,88.29405212402344,53.83272933959961,31.012710571289062,1625.239990234375
2018-05-23,88.30369567871094,54.259910583496094,30.99365997314453,1627.6099853515625
2018-05-24,88.32298278808594,54.38716506958008,31.031763076782227,1628.219970703125
2018-05-25,88.3326416015625,54.84159469604492,30.984134674072266,1626.9300537109375
2018-05-29,88.3326416015625,55.44145584106445,30.86031723022461,1623.6500244140625
2018-05-30,88.32298278808594,55.114261627197266,31.2984561920166,1647.989990234375
2018-05-31,88.34228515625,55.17788314819336,30.99365997314453,1633.6099853515625
2018-06-01,88.34808349609375,54.917972564697266,31.203203201293945,1647.97998046875
2018-06-04,88.35774230957031,54.79030227661133,31.3555965423584,1653.3699951171875
2018-06-05,88.35774230957031,54.662620544433594,31.47942543029785,1664.6300048828125
2018-06-06,88.34808349609375,54.243125915527344,31.71754264831543,1675.949951171875
2018-06-07,88.35774230957031,54.46200180053711,31.727069854736328,1667.77001953125
2018-06-08,88.3770523071289,54.38901901245117,31.822317123413086,1672.489990234375
2018-06-11,88.38672637939453,54.279598236083984,31.841367721557617,1674.6800537109375
2018-06-12,88.38672637939453,54.29783630371094,31.841367721557617,1682.300048828125
2018-06-13,88.3770523071289,54.30696487426758,31.622297286987305,1676.5400390625
2018-06-14,88.40605163574219,54.589656829833984,31.68897819519043,1684.719970703125
2018-06-15,88.40605163574219,54.534942626953125,31.64134979248047,1683.9100341796875
2018-06-18,88.39637756347656,54.46200180053711,31.746122360229492,1692.4599609375
2018-06-19,88.41571044921875,54.60791015625,31.71754264831543,1693.449951171875
2018-06-20,88.40605163574219,54.34343338012695,31.89851951599121,1706.989990234375
2018-06-21,88.41571044921875,54.3616828918457,31.643346786499023,1688.949951171875
2018-06-22,88.42536163330078,54.3616828918457,31.710241317749023,1685.5799560546875
2018-06-25,88.44468688964844,54.33430862426758,31.31840705871582,1657.510009765625
2018-06-26,88.43505096435547,54.443748474121094,31.394855499267578,1668.530029296875
2018-06-27,88.45435333251953,54.73557662963867,31.041250228881836,1640.449951171875
2018-06-28,88.45435333251953,54.699100494384766,31.108152389526367,1645.02001953125
2018-06-29,88.4736557006836,54.845008850097656,31.09859275817871,1643.0699462890625
2018-07-02,88.46111297607422,54.68762969970703,31.184608459472656,1655.0899658203125
2018-07-03,88.48045349121094,55.02617263793945,31.251508712768555,1660.4200439453125
2018-07-05,88.48045349121094,55.18172836303711,31.54776954650879,1679.47998046875
2018-07-06,88.49978637695312,55.40131759643555,31.76758575439453,1694.050048828125
2018-07-09,88.49978637695312,55.40131759643555,32.016075134277344,1704.5999755859375
2018-07-10,88.50946044921875,55.43791961669922,31.977842330932617,1695.6199951171875
2018-07-11,88.50946044921875,55.49282455444336,31.719797134399414,1683.6600341796875
2018-07-12,88.50946044921875,55.61175537109375,31.738910675048828,1690.280029296875
2018-07-13,88.5191421508789,55.79474639892578,31.738910675048828,1687.0799560546875
2018-07-16,88.52880859375,55.57514572143555,31.586002349853516,1678.5400390625
2018-07-17,88.52880859375,55.50196075439453,31.70068359375,1687.260009765625
2018-07-18,88.53849792480469,55.419620513916016,31.824922561645508,1691.8699951171875
2018-07-19,88.54814910888672,55.62091064453125,31.968284606933594,1701.31005859375
2018-07-20,88.55785369873047,55.14511489868164,31.88227081298828,1696.81005859375
2018-07-23,88.54814910888672,54.724239349365234,31.89182472229004,1698.4100341796875
2018-07-24,88.56752014160156,54.879783630371094,31.70068359375,1680.199951171875
2018-07-25,88.55785369873047,54.943824768066406,31.76758575439453,1685.199951171875
2018-07-26,88.56752014160156,54.943824768066406,31.987401962280273,1695.3599853515625
2018-07-27,88.58688354492188,55.081077575683594,31.65290069580078,1663.3399658203125
2018-07-30,88.57719421386719,55.007869720458984,31.566884994506836,1653.1300048828125
2018-07-31,88.59652709960938,55.117679595947266,31.88227081298828,1670.800048828125
2018-08-01,88.60137939453125,54.88816833496094,31.758026123046875,1669.260009765625
2018-08-02,88.61106872558594,54.85144805908203,31.958724975585938,1682.0999755859375
2018-08-03,88.61106872558594,55.191123962402344,31.996952056884766,1673.3699951171875
2018-08-06,88.62076568603516,55.191123962402344,32.14030838012695,1684.31005859375
2018-08-07,88.63043975830078,55.0258674621582,32.19765090942383,1688.300048828125
2018-08-08,88.62076568603516,54.924888610839844,32.159423828125,1686.8800048828125
2018-08-09,88.63043975830078,55.04423141479492,32.159423828125,1690.8900146484375
2018-08-10,88.64982604980469,55.20029830932617,31.977842330932617,1686.800048828125
2018-08-13,88.65949249267578,55.20029830932617,31.7962589263916,1675.3199462890625
2018-08-14,88.64013671875,55.209476470947266,32.11164093017578,1692.5799560546875
2018-08-15,88.65949249267578,55.374725341796875,31.7962589263916,1670.6700439453125
2018-08-16,88.65949249267578,55.57667922973633,32.082969665527344,1685.75
2018-08-17,88.6692123413086,55.59504318237305,32.264549255371094,1692.949951171875
2018-08-20,88.6692123413086,55.852081298828125,32.41745376586914,1698.68994140625
2018-08-21,88.67887115478516,55.7878303527832,32.685062408447266,1718.050048828125
2018-08-22,88.67887115478516,55.907169342041016,32.65639114379883,1722.5400390625
2018-08-23,88.70794677734375,55.897987365722656,32.51303482055664,1717.050048828125
2018-08-24,88.70794677734375,55.95307540893555,32.6181640625,1725.6700439453125
2018-08-27,88.71765899658203,55.84291076660156,32.685062408447266,1728.4100341796875
2018-08-28,88.71765899658203,55.567501068115234,32.67550277709961,1728.4200439453125
2018-08-29,88.70794677734375,55.54914093017578,32.74239730834961,1734.75
2018-08-30,88.74671173095703,55.57667922973633,32.579933166503906,1732.3499755859375
2018-08-31,88.73702239990234,55.44816970825195,32.64683532714844,1740.75
2018-09-04,88.7447738647461,55.06039047241211,32.52259063720703,1733.3800048828125
2018-09-05,88.73507690429688,54.99591827392578,32.570377349853516,1727.6500244140625
2018-09-06,88.75448608398438,55.28144836425781,32.41745376586914,1714.469970703125
2018-09-07,88.77389526367188,54.959083557128906,32.31233596801758,1713.1800537109375
2018-09-10,88.77389526367188,55.1893424987793,32.36967849731445,1717.469970703125
2018-09-11,88.7835922241211,54.949867248535156,32.36967849731445,1718.4000244140625
2018-09-12,88.7835922241211,55.115657806396484,32.34101104736328,1715.699951171875
2018-09-13,88.7835922241211,55.263023376464844,32.379234313964844,1714.3199462890625
2018-09-14,88.79327392578125,55.152488708496094,32.50347137451172,1721.719970703125
