Date,BIL,BNDX,IYR,MUB,VIGRX
2016-01-04,87.13835144042969,47.30316162109375,62.83554458618164,98.6360855102539,51.21922302246094
2016-01-05,87.13835144042969,47.27635955810547,63.866615295410156,98.75215148925781,51.24776840209961
2016-01-06,87.1001968383789,47.45491027832031,63.655303955078125,99.18965148925781,50.657623291015625
2016-01-07,87.11927032470703,47.38349151611328,62.23549270629883,99.33251953125,49.40118408203125
2016-01-08,87.11927032470703,47.37457275390625,61.500247955322266,99.37715911865234,48.91573715209961
2016-01-11,87.11927032470703,47.32099914550781,61.74531936645508,99.2164306640625,48.97284698486328
2016-01-12,87.13835144042969,47.38349151611328,61.31429672241211,99.25216674804688,49.42973327636719
2016-01-13,87.11927032470703,47.49060821533203,60.3846549987793,99.29680633544922,47.95436477661133
2016-01-14,87.1001968383789,47.338871002197266,60.300148010253906,99.11820983886719,48.706329345703125
2016-01-15,87.1001968383789,47.40134048461914,59.61559295654297,99.42179870605469,47.68783950805664
2016-01-19,87.11927032470703,47.25851058959961,59.793087005615234,99.41289520263672,47.68783950805664
2016-01-20,87.11927032470703,47.40134048461914,58.20420455932617,99.56465911865234,47.33565902709961
2016-01-21,87.13835144042969,47.44597244262695,58.59298324584961,99.50218963623047,47.5736198425293
2016-01-22,87.1001968383789,47.34779739379883,60.21563720703125,99.37715911865234,48.715850830078125
2016-01-25,87.11927032470703,47.463836669921875,59.62404251098633,99.43071746826172,48.02099609375
2016-01-26,87.1001968383789,47.42812728881836,60.90019226074219,99.40393829345703,48.55403518676758
2016-01-27,87.11927032470703,47.570960998535156,59.953651428222656,99.45752716064453,47.68783950805664
2016-01-28,87.11927032470703,47.66914749145508,59.55642318725586,99.47535705566406,47.9638786315918
2016-01-29,87.13835144042969,47.82090759277344,60.8494873046875,99.60930633544922,49.04899215698242
2016-02-01,87.1001968383789,47.81732177734375,60.85793685913086,99.38026428222656,49.1536979675293
2016-02-02,87.1001968383789,47.89775466918945,60.21563720703125,99.63970947265625,48.239933013916016
2016-02-03,87.11927032470703,47.96923065185547,60.51143264770508,99.72919464111328,48.37317657470703
2016-02-04,87.13835144042969,47.96923065185547,60.57904815673828,99.8097152709961,48.4017333984375
2016-02-05,87.13835144042969,47.978172302246094,59.2183723449707,99.89025115966797,46.96443557739258
2016-02-08,87.11927032470703,48.06755828857422,57.4774169921875,100.14971160888672,46.069698333740234
2016-02-09,87.13835144042969,48.094356536865234,56.54777526855469,100.15864562988281,46.069698333740234
2016-02-10,87.11927032470703,48.040748596191406,56.843570709228516,100.18548583984375,46.241031646728516
2016-02-11,87.13835144042969,48.112213134765625,56.00687789916992,100.33758544921875,45.86029052734375
2016-02-12,87.11927032470703,47.906681060791016,56.73369216918945,100.0870590209961,46.650325775146484
2016-02-16,87.11927032470703,47.93350601196289,57.82391357421875,100.14075469970703,47.56410217285156
2016-02-17,87.11927032470703,47.96923065185547,58.347896575927734,100.0065689086914,48.48740005493164
2016-02-18,87.13835144042969,48.076473236083984,58.905677795410156,99.9975814819336,48.08762741088867
2016-02-19,87.13835144042969,48.12116241455078,59.03245544433594,99.92603302001953,48.23040771484375
2016-02-22,87.13835144042969,48.16584396362305,59.71701431274414,99.82762908935547,48.95381164550781
2016-02-23,87.11927032470703,48.174774169921875,59.573341369628906,99.8634033203125,48.37317657470703
2016-02-24,87.13835144042969,48.237342834472656,59.59868240356445,99.72919464111328,48.668251037597656
2016-02-25,87.11927032470703,48.3177604675293,60.68046951293945,99.80075073242188,49.22985076904297
2016-02-26,87.11927032470703,48.3177604675293,60.4945182800293,99.63970947265625,49.20128631591797
2016-02-29,87.13835144042969,48.42498016357422,60.39310836791992,99.63081359863281,48.83006286621094
2016-03-01,87.13835144042969,48.41156768798828,61.96506118774414,99.44342041015625,50.13410949707031
2016-03-02,87.11927032470703,48.2684326171875,62.43832778930664,99.33587646484375,50.153141021728516
2016-03-03,87.13835144042969,48.29529571533203,62.75102615356445,99.39862823486328,50.28640365600586
2016-03-04,87.13835144042969,48.313167572021484,62.92006301879883,99.21936798095703,50.4101448059082
2016-03-07,87.13835144042969,48.33106231689453,63.03837203979492,99.24628448486328,50.30543899536133
2016-03-08,87.11927032470703,48.4563102722168,62.38762664794922,99.33587646484375,49.74384689331055
2016-03-09,87.13835144042969,48.33106231689453,62.64116668701172,99.30901336669922,49.972286224365234
2016-03-10,87.13835144042969,48.16109085083008,62.48058319091797,99.37174224853516,49.9818115234375
2016-03-11,87.11927032470703,48.32212829589844,63.959564208984375,99.29107666015625,50.89559555053711
2016-03-14,87.11927032470703,48.30422592163086,63.87505340576172,99.3628158569336,50.91462707519531
2016-03-15,87.11927032470703,48.30422592163086,63.8581428527832,99.34486389160156,50.82896041870117
2016-03-16,87.13835144042969,48.42051696777344,64.66947937011719,99.38072204589844,51.18115234375
2016-03-17,87.11927032470703,48.51891326904297,65.57376861572266,99.50617980957031,51.428619384765625
2016-03-18,87.11927032470703,48.61730194091797,65.32022094726562,99.54207611083984,51.65483474731445
2016-03-21,87.13835144042969,48.61730194091797,64.89765930175781,99.55996704101562,51.750282287597656
2016-03-22,87.13835144042969,48.67098617553711,64.91458129882812,99.57788848876953,51.77891159057617
2016-03-23,87.11927032470703,48.66203689575195,64.45703887939453,99.6764907836914,51.435302734375
2016-03-24,87.13835144042969,48.7157096862793,64.50835418701172,99.55101776123047,51.45439529418945
2016-03-28,87.13835144042969,48.635189056396484,65.0043716430664,99.66752624511719,51.483028411865234
2016-03-29,87.13835144042969,48.814109802246094,66.29571533203125,99.80197143554688,52.12251663208008
