Date,close,high,low,open,volume
5/5/2005,1.309999943,1.331071377,1.30250001,1.330357194,387366000
5/6/2005,1.330000043,1.333214283,1.313928604,1.317499995,326247600
5/9/2005,1.320357084,1.337499976,1.3125,1.331428528,355695200
5/10/2005,1.300714254,1.330357194,1.297500014,1.3125,440263600
5/11/2005,1.271785736,1.273928523,1.182500005,1.257142901,2041981200
5/12/2005,1.218928576,1.271071434,1.214285731,1.264999986,970242000
5/13/2005,1.241785765,1.258214235,1.216785669,1.221428514,702713200
5/16/2005,1.26964283,1.274999976,1.233214259,1.234285712,474294800
5/17/2005,1.262857199,1.26642859,1.23357141,1.254999995,588344400
5/18/2005,1.279999971,1.341428518,1.249642849,1.266071439,636722800
5/19/2005,1.341071486,1.345714331,1.277857184,1.277857184,793161600
5/20/2005,1.341071486,1.344642878,1.328214288,1.330357194,452650800
5/23/2005,1.419999957,1.424999952,1.35178566,1.35178566,1042574400
5/24/2005,1.41785717,1.428214312,1.393928528,1.408928514,593460000
5/25/2005,1.420714259,1.426785707,1.404285669,1.410714269,396006800
5/26/2005,1.455000043,1.462142825,1.426428556,1.426428556,525520800
5/27/2005,1.448571444,1.456785679,1.428928614,1.451428533,316008000
5/31/2005,1.419999957,1.455000043,1.413571477,1.452142835,404205200
6/1/2005,1.439285755,1.455714345,1.423571467,1.424642801,453812800
6/2/2005,1.429999948,1.440000057,1.41428566,1.430357099,373973600
6/3/2005,1.365714312,1.377857089,1.348928571,1.362857103,956869200
6/6/2005,1.354285717,1.379642844,1.341428518,1.368928552,811966400
6/7/2005,1.304999948,1.347499967,1.301785707,1.342857122,745264800
6/8/2005,1.318571448,1.330357194,1.306071401,1.308214307,404006400
6/9/2005,1.344642878,1.355000019,1.315000057,1.321428537,390255600
6/10/2005,1.278928518,1.33571434,1.268571377,1.33571434,678932800
6/13/2005,1.282142878,1.307500005,1.279285669,1.281785727,435772400
6/14/2005,1.285714269,1.291071415,1.276785731,1.28285718,347846800
6/15/2005,1.326071382,1.33214283,1.296428561,1.316785693,563343200
6/16/2005,1.356428623,1.360000014,1.315000057,1.328214288,547674400
6/17/2005,1.36821425,1.376428604,1.351071477,1.373928547,596125600
6/20/2005,1.343214273,1.360357165,1.337499976,1.35178566,323716400
6/21/2005,1.352142811,1.363928556,1.335000038,1.347142816,370526800
6/22/2005,1.376785755,1.378571391,1.362142801,1.366428614,424925200
6/23/2005,1.388928533,1.420714259,1.380357146,1.386785746,674254000
6/24/2005,1.34857142,1.397142887,1.345714331,1.396071434,410709600
6/27/2005,1.325000048,1.360714316,1.309999943,1.31571424,600171600
6/28/2005,1.332499981,1.342499971,1.327499986,1.33892858,350299600
6/29/2005,1.298928618,1.331785679,1.289999962,1.329642892,448358400
6/30/2005,1.314642906,1.327142835,1.296785712,1.307500005,418390000
7/1/2005,1.303571463,1.320357084,1.29607141,1.315357089,250000800
7/5/2005,1.356428623,1.362499952,1.303571463,1.305357099,454269200
7/6/2005,1.335357189,1.362857103,1.328571439,1.346785665,394626400
7/7/2005,1.343928576,1.34857142,1.314285755,1.314642906,383723200
7/8/2005,1.366071463,1.367142916,1.338214278,1.352499962,290735200
7/11/2005,1.360714316,1.380357146,1.349285722,1.370357156,388788400
7/12/2005,1.365714312,1.371428609,1.353928566,1.365357161,387038400
7/13/2005,1.369642854,1.375,1.353571415,1.367499948,684835200
7/14/2005,1.455357194,1.500357151,1.436785698,1.456785679,2096060400
7/15/2005,1.483928561,1.484642863,1.445000052,1.463214278,687682800
7/18/2005,1.481785655,1.503571391,1.477499962,1.478928566,586297600
7/19/2005,1.542500019,1.543928623,1.466785669,1.482857108,671062000
7/20/2005,1.558214307,1.564285755,1.52321434,1.530714273,453395600
7/21/2005,1.54607141,1.572857141,1.532142878,1.560714245,404264000
7/22/2005,1.571428537,1.571428537,1.549642801,1.551428556,301106400
