Date,close,high,low,open,volume
1/3/2005,97.75,99.09999847,97.25,98.97000122,5295200
1/4/2005,96.69999695,98.41999817,96.51999664,97.73999786,5711000
1/5/2005,96.5,97.83000183,96.40000153,96.59999847,5646700
1/6/2005,96.19999695,96.98000336,96.05000305,96.54000092,4561700
1/7/2005,95.77999878,96.80000305,95.47000122,96.5,6200700
1/10/2005,95.68000031,96.08999634,95.23999786,95.77999878,4625100
1/11/2005,95,95.79000092,94.70999908,95.68000031,4746400
1/12/2005,95.20999908,95.27999878,94.05999756,95,5828600
1/13/2005,94.44999695,96.19999695,93.69999695,95.38999939,5339400
1/14/2005,94.09999847,94.25,93.55000305,94.01000214,5520800
1/18/2005,94.90000153,95.33999634,93.62000275,93.65000153,8492100
1/19/2005,93.09999847,95.15000153,92.93000031,94.94999695,7352700
1/20/2005,93,93.83999634,92.59999847,92.61000061,5708600
1/21/2005,92.37999725,93.30000305,92.23000336,93,7002600
1/24/2005,91.79000092,92.84999847,91.76000214,92.69999695,6537300
1/25/2005,92.19000244,92.58999634,91.94999695,91.98000336,5070700
1/26/2005,91.94999695,92.87000275,91.94000244,92.30000305,5352000
1/27/2005,91.98000336,92.22000122,91.44000244,91.5,4746900
1/28/2005,92.88999939,93.58999634,92.48000336,92.68000031,5960600
1/31/2005,93.41999817,93.94999695,93.05000305,93.65000153,4759900
2/1/2005,93.86000061,94,93.37000275,93.66999817,3637400
2/2/2005,94.30000305,94.34999847,93.62999725,93.77999878,3597400
2/3/2005,93.54000092,93.94000244,93.05999756,93.87000275,3928700
2/4/2005,94.51000214,94.73999786,93,93.01000214,3807600
2/7/2005,94.52999878,94.90000153,94.33000183,94.34999847,2837800
2/8/2005,94.12999725,94.63999939,94.12999725,94.20999908,3541100
2/9/2005,92.69999695,94.83000183,92.54000092,94.13999939,5657100
2/10/2005,92.76000214,93.09999847,92.30000305,92.94999695,4838400
2/11/2005,93.30000305,93.97000122,92.5,92.69999695,4229300
2/14/2005,93.56999969,94.01999664,93.16000366,93.16000366,2868800
2/15/2005,94.33000183,94.66999817,93.48000336,93.5,4148000
2/16/2005,94.62000275,94.97000122,94.19999695,94.23000336,4466500
2/17/2005,93.75,94.76000214,93.73999786,94.5,4254200
2/18/2005,93.26999664,94.25,92.90000153,93.75,4265300
2/22/2005,92.31999969,93.5,92.23000336,92.66999817,4825100
2/23/2005,92.09999847,92.44000244,91.55000305,92.29000092,5622800
2/24/2005,92.63999939,93.08999634,91.84999847,91.98000336,4153900
2/25/2005,92.80000305,92.80000305,92.29000092,92.34999847,4078500
2/28/2005,92.58000183,92.76000214,92.41000366,92.52999878,4949800
3/1/2005,93.30000305,93.43000031,92.58999634,92.63999939,3819900
3/2/2005,92.91999817,93.73000336,92.75,92.75,4467400
3/3/2005,92.41000366,93.20999908,92.19999695,93.15000153,4037800
3/4/2005,92.37000275,93.18000031,92.36000061,92.94000244,4754000
3/7/2005,91.59999847,92.51000214,91.58999634,92.34999847,7046900
3/8/2005,92.12999725,92.55999756,91.69999695,91.69999695,5087800
3/9/2005,92.34999847,93,92.01000214,92.01999664,4511200
3/10/2005,92.41000366,92.80000305,92.08999634,92.34999847,3422500
3/11/2005,91.51000214,92.41000366,91.19999695,92.25,4494300
3/14/2005,91.90000153,92.04000092,91.5,91.5,3935500
